Rank_QS,Previous_Rank,Name,Region,Size,Focus,Research,Status,Academic Reputation  RANK,Employer_Reputation_Score,Employer_Reputation_Rank,Faculty_Student_Ratio_Rank,Citations_per_Faculty_Score,Citations_per_Faculty_Rank,International Faculty  SCORE,International Faculty  RANK,International_Student_Score,International student  RANK,International_Students_Diversity_Score,International_Students_Diversity_Rank,International_Research_Network_Score,International_Research_Network_Rank,Employment_Outcomes_Score,Employment_Outcomes_Rank,Sustainability_Score,Sustainability_Rank,QS_Overall_Score,Rank_THE,Student_Population,Students_to_Staff_Ratio,International_Students,Female_to_Male_Ratio,THE_Overall_Score,Teaching,Research_Environment,Research_Quality,Industry_Impact,International_Outlook,Year,Country,QS_Rank_Normalized,THE_Rank_Normalized,Global_Ranking_Score,Research_Impact_Score,Faculty_to_Student_Ratio,International_Student_Percentage,Academic_Reputation_Score,Research_Productivity_Index
87,80,University of Southampton,Europe,L,FC,VH,Public,163,55.9,214,504,87.8,111,96.8,153,98.6,82.0,98.6,69.0,97.4,32.0,58.6,279,95.1,23.0,71.2,129.0,24355.0,14.3,0.46,2.28,63.33,44.6,45.4,89.6,73.1,96.1,2026.0,United Kingdom,87.0,129.0,67.26,80.05,40.1,46.0,62.6,67.5
91,86,The University of Osaka,Asia,L,FC,VH,Public,67,90.0,73,430,65.8,242,25.2,649,21.1,709.0,27.2,651.0,72.0,500.0,51.4,330,79.5,180.0,71.0,152.0,22367.0,10.4,0.12,0.49,61.84,65.9,64.9,53.3,100.0,47.9,2026.0,Japan,91.0,152.0,66.42,64.0,45.6,12.0,90.5,59.1
93,103,Uppsala University,Europe,L,FC,VH,Public,113,48.1,268,260,55.9,318,99.7,106,82.9,207.0,84.5,174.0,95.9,60.0,82.9,145,94.4,26.0,70.3,128.0,20953.0,10.9,0.18,2.49,63.46,47.4,54.9,81.3,95.0,71.5,2026.0,Sweden,93.0,128.0,66.88,72.0,66.3,18.0,74.7,68.1
94,89,Durham University,Europe,L,FC,VH,Public,117,91.9,64,539,42.9,441,99.2,123,94.5,134.0,94.9,111.0,90.9,161.0,53.6,316,95.2,22.0,70.1,177.0,21470.0,13.2,0.34,2.28,60.26,45.2,44.9,81.0,62.8,94.6,2026.0,United Kingdom,94.0,177.0,65.18,64.93,37.3,34.0,74.1,62.95
94,96,University of Alberta,Americas,XL,FC,VH,Public,133,53.0,230,443,71.5,204,99.4,119,78.6,229.0,80.6,199.0,94.5,90.0,77.1,169,90.7,58.0,70.1,119.0,33938.0,21.6,0.28,,64.61,49.1,55.4,78.1,100.0,88.4,2026.0,Canada,94.0,119.0,67.35,74.88,44.6,28.0,70.9,66.75
96,88,University of Technology Sydney,Oceania,L,CO,VH,Public,180,66.7,159,801,99.3,33,97.6,146,91.7,151.0,92.3,128.0,89.7,177.0,52.3,323,92.0,47.0,69.9,149.0,29729.0,37.7,0.26,2.16,61.96,36.8,42.6,94.1,88.7,92.9,2026.0,Australia,96.0,149.0,65.93,81.42,11.8,26.0,58.7,68.35
98,111,Politecnico di Milano,Europe,XL,CO,VH,Public,84,90.1,72,801,53.9,343,74.4,317,69.3,281.0,72.3,252.0,87.0,215.0,72.0,199,72.9,275.0,69.1,216.0,39793.0,21.8,0.23,0.56,57.85,46.2,51.9,67.8,98.0,65.5,2026.0,Italy,98.0,216.0,63.47,65.15,9.3,23.0,83.4,59.85
101,100,University of Copenhagen,Europe,XL,FC,VH,Public,79,41.7,324,34,36.6,512,87.3,241,26.5,640.0,19.9,765.0,98.0,22.0,94.4,77,76.3,221.0,68.4,90.0,31425.0,4.2,0.14,2.65,67.12,51.3,52.2,91.3,92.8,76.6,2026.0,Denmark,101.0,90.0,67.76,69.53,99.6,14.0,85.5,71.75
105,94,Lomonosov Moscow State University,Europe,L,FC,VH,Public,83,87.9,80,26,7.3,801,25.5,641,96.0,112.0,96.1,97.0,87.0,214.0,98.3,37,48.8,734.0,67.6,133.0,31603.0,9.7,0.38,2.16,63.05,80.9,69.7,32.9,93.4,71.6,2026.0,Russian Federation,105.0,133.0,65.32,49.22,99.9,38.0,83.7,51.3
107,109,Technical University of Denmark,Europe,M,FO,VH,Public,264,36.2,396,49,90.9,99,100.0,52,95.9,113.0,96.1,96.0,87.1,213.0,60.5,269,68.0,351.0,67.5,121.0,11254.0,8.8,0.37,0.52,64.34,51.2,46.5,82.6,99.9,93.0,2026.0,Denmark,107.0,121.0,65.92,76.78,98.4,37.0,44.8,64.55
109,107,Tohoku University,Asia,L,FC,VH,Public,82,86.5,84,52,35.5,519,20.5,705,19.4,739.0,25.5,678.0,70.1,529.0,36.5,474,82.0,149.0,66.7,105.0,17349.0,12.6,0.13,0.39,65.73,70.9,70.8,52.8,100.0,59.2,2026.0,Japan,109.0,105.0,66.22,57.3,98.2,13.0,84.5,61.8
112,122,Qatar University,Asia,M,FC,VH,Public,273,56.5,208,206,73.3,188,100.0,26,98.6,83.0,98.6,70.0,89.6,179.0,98.9,29,72.2,289.0,66.5,221.0,9539.0,8.2,0.38,,57.59,32.4,38.1,89.1,79.1,94.5,2026.0,Qatar,112.0,221.0,62.04,72.53,73.8,38.0,43.3,63.6
113,104,University of St Andrews,Europe,M,FO,VH,Public,165,74.9,127,278,51.3,368,98.8,131,99.7,47.0,99.7,36.0,87.7,208.0,28.9,575,86.2,97.0,66.4,164.0,11265.0,12.9,0.49,2.49,60.9,50.6,43.3,78.2,71.9,94.4,2026.0,United Kingdom,113.0,164.0,63.65,65.12,63.8,49.0,61.5,60.75
114,113,Aalto University,Europe,L,FO,VH,Public,189,56.1,212,564,79.6,160,97.2,147,60.0,343.0,63.9,312.0,80.9,332.0,97.1,55,88.3,77.0,66.3,196.0,15131.0,21.3,0.26,0.64,59.02,44.3,43.4,78.9,91.0,80.7,2026.0,Finland,114.0,196.0,62.66,70.7,35.1,26.0,57.5,61.15
116,117,University of Helsinki,Europe,L,CO,VH,Public,114,37.7,370,256,62.7,262,78.5,305,13.1,801.0,19.1,779.0,96.1,57.0,94.2,80,95.6,18.0,66.1,104.0,22974.0,15.8,0.07,2.86,65.74,50.4,57.3,90.1,70.7,58.6,2026.0,Finland,116.0,104.0,65.92,76.55,66.9,7.0,74.5,73.7
118,126,University College Dublin,Europe,L,FC,VH,Public,149,57.6,204,801,62.0,272,99.5,112,89.6,170.0,90.5,144.0,89.0,188.0,92.2,88,91.7,49.0,66.0,223.0,25252.0,19.1,0.35,,57.47,35.5,41.7,84.0,74.9,89.4,2026.0,Ireland,118.0,223.0,61.74,69.18,19.7,35.0,66.5,62.85
119,141,Leiden University,Europe,XL,FC,VH,Public,97,46.3,288,629,64.9,249,89.7,225,68.4,288.0,50.9,408.0,94.3,93.0,61.2,263,58.6,530.0,65.7,70.0,34441.0,17.6,0.22,2.45,71.33,49.3,63.3,93.6,99.1,85.2,2026.0,Netherlands,119.0,70.0,68.52,79.02,30.3,22.0,80.4,78.45
119,119,University of Oslo,Europe,L,FC,VH,Public,143,27.7,498,176,67.7,232,95.8,167,46.0,439.0,34.3,560.0,96.8,43.0,86.6,129,72.3,286.0,65.7,114.0,20102.0,11.7,0.18,2.69,65.16,47.8,52.5,90.3,75.2,76.5,2026.0,Norway,119.0,114.0,65.43,76.82,78.4,18.0,67.8,71.4
119,115,University of Waterloo,Americas,XL,CO,VH,Public,209,74.2,130,801,88.3,108,81.5,283,76.6,247.0,78.9,219.0,83.5,285.0,72.0,201,90.5,60.0,65.7,163.0,34772.0,22.7,0.21,2.0,60.91,42.7,47.6,83.4,77.0,85.5,2026.0,Canada,119.0,163.0,63.3,75.7,8.8,21.0,53.0,65.5
125,123,RMIT University,Oceania,XL,CO,VH,Public,202,60.3,191,801,91.3,96,100.0,45,95.2,125.0,95.5,106.0,83.1,292.0,49.9,345,87.9,80.0,65.3,267.0,32309.0,23.8,0.38,2.08,55.74,35.2,36.2,82.5,78.2,93.1,2026.0,Australia,125.0,267.0,60.52,73.28,7.2,38.0,55.1,59.35
128,132,Sapienza University of Rome,Europe,XL,FC,VH,Public,65,66.4,161,801,62.9,261,4.0,801,14.8,801.0,20.9,749.0,95.9,61.0,91.5,92,81.9,151.0,64.9,172.0,60428.0,27.3,0.07,2.57,60.65,55.9,53.5,73.4,85.2,42.9,2026.0,Italy,128.0,172.0,62.78,71.43,7.8,7.0,90.7,63.45
131,144,Aarhus University,Europe,L,FC,VH,Public,140,41.7,325,472,74.1,183,96.7,157,25.5,654.0,19.1,777.0,96.3,52.0,79.4,164,73.2,271.0,64.3,101.0,25370.0,12.8,0.12,2.53,66.2,48.6,58.8,83.9,99.8,75.3,2026.0,Denmark,131.0,101.0,65.25,78.27,42.4,12.0,68.3,71.35
132,150,University of Bath,Europe,L,CO,VH,Public,233,81.6,100,801,75.9,173,95.6,170,86.8,187.0,88.0,156.0,85.3,250.0,50.7,337,83.8,127.0,64.2,263.0,17650.0,17.7,0.29,1.95,55.89,39.8,35.1,81.0,67.1,93.2,2026.0,United Kingdom,132.0,263.0,60.04,69.32,20.5,29.0,48.9,58.05
137,129,Newcastle University,Europe,L,FC,VH,Public,162,68.7,152,388,49.1,379,92.5,205,81.0,220.0,82.8,185.0,95.8,65.0,40.5,433,90.9,56.0,63.9,145.0,26400.0,15.0,0.28,2.28,62.08,39.8,43.2,93.0,80.0,89.5,2026.0,United Kingdom,137.0,145.0,62.99,70.28,49.5,28.0,62.9,68.1
138,133,Macquarie University,Oceania,L,FC,VH,Public,242,56.7,206,801,85.8,119,100.0,86,97.3,98.0,97.5,86.0,91.0,156.0,62.2,252,90.6,59.0,63.3,169.0,29826.0,50.2,0.25,,60.71,35.9,42.5,90.9,97.2,88.5,2026.0,Australia,138.0,169.0,62.0,77.55,13.6,25.0,47.7,66.7
140,136,Eindhoven University of Technology,Europe,M,FO,VH,Public,296,77.3,115,455,81.9,146,100.0,87,95.7,119.0,95.9,101.0,74.3,459.0,33.1,512,74.1,255.0,63.2,194.0,10823.0,19.1,0.36,0.43,59.17,47.7,49.5,67.0,100.0,88.6,2026.0,Netherlands,140.0,194.0,61.18,68.18,43.6,36.0,40.5,58.25
140,158,Erasmus University Rotterdam,Europe,L,FO,VH,Public,230,74.8,129,801,75.7,174,81.8,280,81.6,216.0,60.8,333.0,81.8,318.0,94.0,81,62.2,454.0,63.2,107.0,31507.0,21.1,0.26,2.28,65.57,38.5,52.9,95.9,89.2,87.1,2026.0,Netherlands,140.0,107.0,64.38,76.58,20.7,26.0,49.4,74.4
143,200,King Saud University,Asia,XL,FC,VH,Public,204,57.7,201,336,65.6,244,100.0,89,29.2,600.0,35.2,549.0,96.8,41.0,99.4,23,63.1,439.0,63.1,266.0,42846.0,11.0,0.11,1.95,55.74,38.2,33.8,82.7,89.1,84.0,2026.0,Saudi Arabia,143.0,266.0,59.42,69.72,55.7,11.0,54.8,58.25
147,128,Stockholm University,Europe,L,CO,VH,Public,155,29.5,484,678,73.6,186,83.0,271,79.4,224.0,59.1,346.0,96.7,45.0,90.5,102,72.1,291.0,62.5,204.0,27746.0,16.2,0.14,,58.46,33.5,48.4,87.2,66.1,76.5,2026.0,Sweden,147.0,204.0,60.48,76.47,28.3,14.0,65.1,67.8
147,159,University of Groningen,Europe,XL,FC,VH,Public,147,41.6,326,331,53.0,353,95.4,174,89.4,173.0,66.6,293.0,93.4,118.0,53.5,317,67.6,355.0,62.5,83.0,33098.0,23.4,0.28,2.28,69.29,47.4,55.9,94.1,99.7,91.7,2026.0,Netherlands,147.0,83.0,65.9,74.1,56.2,28.0,67.2,75.0
147,165,University of Liverpool,Europe,L,FC,VH,Public,171,48.8,264,538,61.7,276,92.4,206,91.1,157.0,91.8,133.0,97.0,39.0,47.8,364,92.4,42.0,62.5,144.0,26770.0,13.9,0.33,2.32,62.22,43.5,42.0,91.2,68.0,95.0,2026.0,United Kingdom,147.0,144.0,62.36,72.97,37.3,33.0,60.7,66.6
150,171,University of Cape Town,Africa,L,FC,VH,Public,183,62.3,179,801,75.4,176,66.1,353,27.9,615.0,33.9,562.0,97.7,24.0,97.7,49,92.1,45.0,62.3,166.0,20094.0,12.6,0.12,2.36,60.74,39.4,46.7,87.8,84.8,77.9,2026.0,South Africa,150.0,166.0,61.52,76.9,14.6,12.0,58.2,67.25
151,120,Western University,Americas,L,FC,VH,Public,282,53.5,227,801,93.5,84,100.0,85,68.7,283.0,71.7,254.0,83.6,282.0,98.0,42,94.0,30.0,62.0,215.0,31831.0,32.7,0.25,2.36,57.88,39.9,42.6,77.5,99.8,86.9,2026.0,Canada,151.0,215.0,59.94,74.3,5.2,25.0,42.3,60.05
152,137,University of Vienna,Europe,XL,FC,VH,Public,88,46.4,285,617,22.2,682,100.0,71,96.6,103.0,96.8,90.0,96.3,53.0,92.8,85,71.8,294.0,61.9,95.0,30228.0,36.6,0.34,2.73,66.6,50.0,60.9,79.8,80.0,94.0,2026.0,Austria,152.0,95.0,64.25,64.8,31.0,34.0,82.3,70.35
153,155,Wageningen University & Research,Europe,L,CO,VH,Public,203,34.4,420,37,54.8,329,72.0,329,90.7,159.0,91.5,134.0,97.2,34.0,32.9,516,91.2,53.0,61.6,66.0,15905.0,16.9,0.31,2.28,72.19,58.6,58.4,90.4,99.5,91.6,2026.0,Netherlands,153.0,66.0,66.9,75.2,99.5,31.0,55.0,74.4
155,169,University of Exeter,Europe,L,FC,VH,Public,186,58.5,198,480,55.8,320,94.8,181,77.8,235.0,79.9,206.0,95.8,66.0,40.9,428,93.9,32.0,61.5,174.0,29280.0,15.7,0.29,2.28,60.58,36.6,42.1,94.0,59.1,93.4,2026.0,United Kingdom,155.0,174.0,61.04,71.92,42.0,29.0,57.9,68.05
155,155,University of Geneva,Europe,L,FC,VH,Public,201,34.8,414,414,70.3,214,100.0,54,98.6,81.0,98.6,68.0,92.1,144.0,63.1,249,66.5,370.0,61.5,168.0,17681.0,7.8,0.41,2.65,60.72,43.8,40.0,85.2,85.7,96.1,2026.0,Switzerland,155.0,168.0,61.11,71.9,47.4,41.0,55.3,62.6
157,141,Lancaster University,Europe,L,FC,VH,Public,217,45.8,296,555,77.5,166,96.4,161,93.3,141.0,93.8,117.0,87.0,216.0,38.2,452,89.2,68.0,61.4,185.0,16935.0,14.9,0.34,2.04,59.73,40.9,40.8,86.7,67.2,95.1,2026.0,United Kingdom,157.0,185.0,60.56,73.0,36.1,34.0,51.2,63.75
158,131,University of Basel,Europe,M,FC,VH,Public,357,20.7,639,229,94.2,80,100.0,47,91.4,156.0,68.0,284.0,90.4,170.0,74.9,183,88.4,74.0,61.3,120.0,8655.0,11.1,0.32,2.4,64.53,50.2,42.8,87.5,99.8,94.2,2026.0,Switzerland,158.0,120.0,62.92,78.72,70.2,32.0,34.0,65.15
160,165,University of Barcelona,Europe,XL,FC,VH,Public,81,48.9,262,801,47.8,391,39.9,501,40.8,484.0,46.2,451.0,96.4,50.0,77.0,170,84.7,115.0,61.0,150.0,45016.0,14.9,0.12,2.69,61.93,44.0,47.8,88.5,92.4,64.6,2026.0,Spain,160.0,150.0,61.46,70.12,19.0,12.0,84.9,68.15
162,169,Ghent University,Europe,XL,FC,VH,Public,141,39.1,350,140,32.4,557,83.4,267,33.8,549.0,39.5,504.0,99.2,11.0,84.9,136,94.0,30.0,60.8,115.0,42572.0,37.8,0.14,2.45,65.14,48.8,58.6,82.7,99.9,65.9,2026.0,Belgium,162.0,115.0,62.97,68.22,84.5,14.0,68.2,70.65
164,152,Nagoya University,Asia,L,FC,VH,Public,116,71.5,141,144,38.2,491,22.6,681,27.6,619.0,33.6,568.0,66.0,610.0,39.2,443,74.1,255.0,60.3,218.0,15559.0,13.3,0.13,0.45,57.79,58.1,56.1,57.0,99.8,43.8,2026.0,Japan,164.0,218.0,59.04,54.32,84.2,13.0,74.2,56.55
165,139,Chalmers University of Technology,Europe,M,FO,VH,Private not for Profit,350,56.6,207,303,80.9,152,100.0,56,74.3,257.0,76.8,226.0,77.0,405.0,53.3,319,82.7,138.0,60.2,240.0,10245.0,11.9,0.18,0.49,56.87,42.6,45.9,71.2,97.1,76.7,2026.0,Sweden,165.0,240.0,58.54,68.75,59.5,18.0,34.6,58.55
166,163,Al-Farabi Kazakh National University,Asia,L,FC,HI,Public,172,86.3,85,36,2.1,801,80.9,288,83.2,204.0,79.3,213.0,75.7,426.0,66.2,234,62.8,443.0,59.8,1419.0,20321.0,4.5,0.26,2.57,28.45,30.1,14.6,27.8,24.1,80.4,2026.0,Kazakhstan,166.0,1419.0,44.12,30.05,99.6,26.0,60.7,21.2
169,184,University of York,Europe,L,FC,VH,Public,197,42.3,317,335,53.8,344,92.4,208,75.4,253.0,77.8,223.0,96.0,58.0,41.0,427,93.2,34.0,59.4,156.0,20330.0,14.3,0.29,2.4,61.49,44.1,43.9,87.5,67.6,90.6,2026.0,United Kingdom,169.0,156.0,60.44,70.3,55.8,29.0,56.8,65.7
170,173,Hokkaido University,Asia,L,FC,VH,Public,129,68.8,151,185,42.7,445,28.2,604,20.5,724.0,26.6,664.0,77.5,393.0,26.4,617,78.5,192.0,59.3,376.0,17693.0,8.3,0.11,0.43,50.63,53.5,45.1,47.9,96.8,47.0,2026.0,Japan,170.0,376.0,54.96,53.3,76.8,11.0,71.5,46.5
170,167,Kyushu University,Asia,L,FC,VH,Public,130,72.1,140,121,34.2,534,24.5,657,39.0,502.0,44.5,468.0,76.4,416.0,20.9,710,74.8,241.0,59.3,319.0,18679.0,7.7,0.14,0.41,53.19,54.2,46.5,53.5,98.8,49.5,2026.0,Japan,170.0,319.0,56.24,52.65,87.1,14.0,71.3,50.0
