Rank_QS,Previous_Rank,Name,Country/Territory,Region,Size,Focus,Research,Status,Academic_Reputation_Score,Academic Reputation  RANK,Employer_Reputation_Score,Employer_Reputation_Rank,Faculty_Student_Ratio_Score,Faculty_Student_Ratio_Rank,Citations_per_Faculty_Score,Citations_per_Faculty_Rank,International Faculty  SCORE,International Faculty  RANK,International_Student_Score,International student  RANK,International_Students_Diversity_Score,International_Students_Diversity_Rank,International_Research_Network_Score,International_Research_Network_Rank,Employment_Outcomes_Score,Employment_Outcomes_Rank,Sustainability_Score,Sustainability_Rank,QS_Overall_Score,Rank_THE,Country,Student_Population,Students_to_Staff_Ratio,International_Students,Female_to_Male_Ratio,THE_Overall_Score,Teaching,Research_Environment,Research_Quality,Industry_Impact,International_Outlook,Year,Country,QS_Rank_Normalized,THE_Rank_Normalized
119,119,University of Oslo,Norway,Europe,L,FC,VH,Public,67.8,143,27.7,498,78.4,176,67.7,232,95.8,167,46.0,439.0,34.3,560.0,96.8,43.0,86.6,129,72.3,286=,65.7,114.0,Norway,20102.0,11.7,0.18,"2 days, 16:36:00",65.1614999999999,47.8,52.5,90.3,75.2,76.5,2026.0,Norway,119.0,114.0
119,115,University of Waterloo,Canada,Americas,XL,CO,VH,Public,53.0,209,74.2,130,8.8,801,88.3,108,81.5,283,76.6,247.0,78.9,219.0,83.5,285.0,72.0,201,90.5,60,65.7,163.0,Canada,34772.0,22.7,0.21,"1 day, 23:53:00",60.913,42.7,47.6,83.4,77.0,85.5,2026.0,Canada,119.0,163.0
125,123,RMIT University,Australia,Oceania,XL,CO,VH,Public,55.1,202,60.3,191,7.2,801,91.3,96,100.0,45,95.2,125.0,95.5,106.0,83.1,292.0,49.9,345,87.9,80=,65.3,267.0,Australia,32309.0,23.8,0.38,"2 days, 1:51:00",55.7425,35.2,36.2,82.5,78.2,93.1,2026.0,Australia,125.0,267.0
128,132,Sapienza University of Rome,Italy,Europe,XL,FC,VH,Public,90.7,65,66.4,161,7.8,801,62.9,261,4.0,801,14.8,801.0,20.9,749.0,95.9,61.0,91.5,92,81.9,151=,64.9,172.0,Italy,60428.0,27.3,0.07,"2 days, 13:39:00",60.6509999999999,55.9,53.5,73.4,85.2,42.9,2026.0,Italy,128.0,172.0
131,144,Aarhus University,Denmark,Europe,L,FC,VH,Public,68.3,140,41.7,325,42.4,472,74.1,183,96.7,157,25.5,654.0,19.1,777.0,96.3,52.0,79.4,164,73.2,271=,64.3,101.0,Denmark,25370.0,12.8,0.12,"2 days, 12:40:00",66.1985,48.6,58.8,83.9,99.8,75.3,2026.0,Denmark,131.0,101.0
132,150,University of Bath,United Kingdom,Europe,L,CO,VH,Public,48.9,233,81.6,100,20.5,801,75.9,173,95.6,170,86.8,187.0,88.0,156.0,85.3,250.0,50.7,337,83.8,127=,64.2,263.0,United Kingdom,17650.0,17.7,0.29,"1 day, 22:54:00",55.894,39.8,35.1,81.0,67.1,93.2,2026.0,United Kingdom,132.0,263.0
137,129,Newcastle University,United Kingdom,Europe,L,FC,VH,Public,62.9,162,68.7,152,49.5,388,49.1,379,92.5,205,81.0,220.0,82.8,185.0,95.8,65.0,40.5,433,90.9,56,63.9,145.0,United Kingdom,26400.0,15.0,0.28,"2 days, 6:46:00",62.0815,39.8,43.2,93.0,80.0,89.5,2026.0,United Kingdom,137.0,145.0
138,133,Macquarie University,Australia,Oceania,L,FC,VH,Public,47.7,242,56.7,206,13.6,801,85.8,119,100.0,86,97.3,98.0,97.5,86.0,91.0,156.0,62.2,252,90.6,59,63.3,169.0,Australia,29826.0,50.2,0.25,,60.711,35.9,42.5,90.9,97.2,88.5,2026.0,Australia,138.0,169.0
140,136,Eindhoven University of Technology,Netherlands,Europe,M,FO,VH,Public,40.5,296,77.3,115,43.6,455,81.9,146,100.0,87,95.7,119.0,95.9,101.0,74.3,459.0,33.1,512,74.1,255=,63.2,194.0,Netherlands,10823.0,19.1,0.36,30 : 70,59.1714999999999,47.7,49.5,67.0,100.0,88.6,2026.0,Netherlands,140.0,194.0
140,158,Erasmus University Rotterdam,Netherlands,Europe,L,FO,VH,Public,49.4,230,74.8,129,20.7,801,75.7,174,81.8,280,81.6,216.0,60.8,333.0,81.8,318.0,94.0,81,62.2,454=,63.2,107.0,Netherlands,31507.0,21.1,0.26,"2 days, 6:46:00",65.569,38.5,52.9,95.9,89.2,87.1,2026.0,Netherlands,140.0,107.0
143,200,King Saud University,Saudi Arabia,Asia,XL,FC,VH,Public,54.8,204,57.7,201,55.7,336,65.6,244,100.0,89,29.2,600.0,35.2,549.0,96.8,41.0,99.4,23,63.1,439=,63.1,266.0,Saudi Arabia,42846.0,11.0,0.11,"1 day, 22:54:00",55.745,38.2,33.8,82.7,89.1,84.0,2026.0,Saudi Arabia,143.0,266.0
147,128,Stockholm University,Sweden,Europe,L,CO,VH,Public,65.1,155,29.5,484,28.3,678,73.6,186,83.0,271,79.4,224.0,59.1,346.0,96.7,45.0,90.5,102,72.1,291=,62.5,204.0,Sweden,27746.0,16.2,0.14,,58.4599999999999,33.5,48.4,87.2,66.1,76.5,2026.0,Sweden,147.0,204.0
147,159,University of Groningen,Netherlands,Europe,XL,FC,VH,Public,67.2,147,41.6,326,56.2,331,53.0,353,95.4,174,89.4,173.0,66.6,293.0,93.4,118.0,53.5,317,67.6,355=,62.5,83.0,Netherlands,33098.0,23.4,0.28,"2 days, 6:46:00",69.2894999999999,47.4,55.9,94.1,99.7,91.7,2026.0,Netherlands,147.0,83.0
147,165,University of Liverpool,United Kingdom,Europe,L,FC,VH,Public,60.7,171,48.8,264,37.3,538,61.7,276,92.4,206,91.1,157.0,91.8,133.0,97.0,39.0,47.8,364,92.4,42=,62.5,144.0,United Kingdom,26770.0,13.9,0.33,"2 days, 7:45:00",62.2175,43.5,42.0,91.2,68.0,95.0,2026.0,United Kingdom,147.0,144.0
150,171,University of Cape Town,South Africa,Africa,L,FC,VH,Public,58.2,183,62.3,179,14.6,801,75.4,176,66.1,353,27.9,615.0,33.9,562.0,97.7,24.0,97.7,49,92.1,45=,62.3,166.0,South Africa,20094.0,12.6,0.12,"2 days, 8:44:00",60.7405,39.4,46.7,87.8,84.8,77.9,2026.0,South Africa,150.0,166.0
151,120,Western University,Canada,Americas,L,FC,VH,Public,42.3,282,53.5,227,5.2,801,93.5,84,100.0,85,68.7,283.0,71.7,254.0,83.6,282.0,98.0,42,94.0,30=,62,215.0,Canada,31831.0,32.7,0.25,"2 days, 8:44:00",57.8839999999999,39.9,42.6,77.5,99.8,86.9,2026.0,Canada,151.0,215.0
152,137,University of Vienna,Austria,Europe,XL,FC,VH,Public,82.3,88,46.4,285,31.0,617,22.2,682,100.0,71,96.6,103.0,96.8,90.0,96.3,53.0,92.8,85,71.8,294=,61.9,95.0,Austria,30228.0,36.6,0.34,"2 days, 17:35:00",66.601,50.0,60.9,79.8,80.0,94.0,2026.0,Austria,152.0,95.0
153,155,Wageningen University & Research,Netherlands,Europe,L,CO,VH,Public,55.0,203,34.4,420,99.5,37,54.8,329,72.0,329,90.7,159.0,91.5,134.0,97.2,34.0,32.9,516,91.2,53,61.6,66.0,Netherlands,15905.0,16.9,0.31,"2 days, 6:46:00",72.193,58.6,58.4,90.4,99.5,91.6,2026.0,Netherlands,153.0,66.0
155,169,University of Exeter,United Kingdom,Europe,L,FC,VH,Public,57.9,186,58.5,198,42.0,480,55.8,320,94.8,181,77.8,235.0,79.9,206.0,95.8,66.0,40.9,428,93.9,32,61.5,174.0,United Kingdom,29280.0,15.7,0.29,"2 days, 6:46:00",60.575,36.6,42.1,94.0,59.1,93.4,2026.0,United Kingdom,155.0,174.0
155,155,University of Geneva,Switzerland,Europe,L,FC,VH,Public,55.3,201,34.8,414,47.4,414,70.3,214,100.0,54,98.6,81.0,98.6,68.0,92.1,144.0,63.1,249,66.5,370,61.5,168.0,Switzerland,17681.0,7.8,0.41,"2 days, 15:37:00",60.7164999999999,43.8,40.0,85.2,85.7,96.1,2026.0,Switzerland,155.0,168.0
157,141,Lancaster University,United Kingdom,Europe,L,FC,VH,Public,51.2,217,45.8,296,36.1,555,77.5,166,96.4,161,93.3,141.0,93.8,117.0,87.0,216.0,38.2,452,89.2,68=,61.4,185.0,United Kingdom,16935.0,14.9,0.34,"2 days, 0:52:00",59.728,40.9,40.8,86.7,67.2,95.1,2026.0,United Kingdom,157.0,185.0
158,131,University of Basel,Switzerland,Europe,M,FC,VH,Public,34.0,357,20.7,639,70.2,229,94.2,80,100.0,47,91.4,156.0,68.0,284.0,90.4,170.0,74.9,183,88.4,74=,61.3,120.0,Switzerland,8655.0,11.1,0.32,"2 days, 9:43:00",64.5279999999999,50.2,42.8,87.5,99.8,94.2,2026.0,Switzerland,158.0,120.0
160,165,University of Barcelona,Spain,Europe,XL,FC,VH,Public,84.9,81,48.9,262,19.0,801,47.8,391,39.9,501,40.8,484.0,46.2,451.0,96.4,50.0,77.0,170,84.7,115=,61,150.0,Spain,45016.0,14.9,0.12,"2 days, 16:36:00",61.9329999999999,44.0,47.8,88.5,92.4,64.6,2026.0,Spain,160.0,150.0
162,169,Ghent University,Belgium,Europe,XL,FC,VH,Public,68.2,141,39.1,350,84.5,140,32.4,557,83.4,267,33.8,549.0,39.5,504.0,99.2,11.0,84.9,136,94.0,30=,60.8,115.0,Belgium,42572.0,37.8,0.14,"2 days, 10:42:00",65.1385,48.8,58.6,82.7,99.9,65.9,2026.0,Belgium,162.0,115.0
164,152,Nagoya University,Japan,Asia,L,FC,VH,Public,74.2,116,71.5,141,84.2,144,38.2,491,22.6,681,27.6,619.0,33.6,568.0,66.0,610.0,39.2,443,74.1,255=,60.3,218.0,Japan,15559.0,13.3,0.13,31 : 69,57.7854999999999,58.1,56.1,57.0,99.8,43.8,2026.0,Japan,164.0,218.0
165,139,Chalmers University of Technology,Sweden,Europe,M,FO,VH,Private not for Profit,34.6,350,56.6,207,59.5,303,80.9,152,100.0,56,74.3,257.0,76.8,226.0,77.0,405.0,53.3,319,82.7,138=,60.2,240.0,Sweden,10245.0,11.9,0.18,33 : 67,56.8745,42.6,45.9,71.2,97.1,76.7,2026.0,Sweden,165.0,240.0
166,163,Al-Farabi Kazakh National University,Kazakhstan,Asia,L,FC,HI,Public,60.7,172,86.3,85,99.6,36,2.1,801,80.9,288,83.2,204.0,79.3,213.0,75.7,426.0,66.2,234,62.8,443,59.8,1419.0,Kazakhstan,20321.0,4.5,0.26,"2 days, 13:39:00",28.4474999999999,30.1,14.6,27.8,24.1,80.4,2026.0,Kazakhstan,166.0,1419.0
169,184,University of York,United Kingdom,Europe,L,FC,VH,Public,56.8,197,42.3,317,55.8,335,53.8,344,92.4,208,75.4,253.0,77.8,223.0,96.0,58.0,41.0,427,93.2,34,59.4,156.0,United Kingdom,20330.0,14.3,0.29,"2 days, 9:43:00",61.4895,44.1,43.9,87.5,67.6,90.6,2026.0,United Kingdom,169.0,156.0
170,173,Hokkaido University,Japan,Asia,L,FC,VH,Public,71.5,129,68.8,151,76.8,185,42.7,445,28.2,604,20.5,724.0,26.6,664.0,77.5,393.0,26.4,617,78.5,192=,59.3,376.0,Japan,17693.0,8.3,0.11,30 : 70,50.6284999999999,53.5,45.1,47.9,96.8,47.0,2026.0,Japan,170.0,376.0
170,167,Kyushu University,Japan,Asia,L,FC,VH,Public,71.3,130,72.1,140,87.1,121,34.2,534,24.5,657,39.0,502.0,44.5,468.0,76.4,416.0,20.9,710,74.8,241=,59.3,319.0,Japan,18679.0,7.7,0.14,29 : 71,53.1885,54.2,46.5,53.5,98.8,49.5,2026.0,Japan,170.0,319.0
