Rank,Name,Country,Student Population,Students to Staff Ratio,International Students,Female to Male Ratio,Overall Score,Teaching,Research Environment,Research Quality,Industry Impact,International Outlook,Year
35,Ã‰cole Polytechnique FÃ©dÃ©rale de Lausanne,Switzerland,13306,13.3,0.64,31 : 69,79.6154999999999,73.5,70.8,87.5,99.9,95.4,2026
36,Fudan University,China,38601,12.4,0.1,"2 days, 4:48:00",79.2785,79.5,77.1,84.8,99.8,53.8,2026
37,University of Melbourne,Australia,51622,23.3,0.51,"2 days, 10:42:00",79.0485,67.7,75.5,87.8,99.3,91.6,2026
38,Kingâ€™s College London,United Kingdom,34410,12.6,0.52,"2 days, 16:36:00",78.6574999999999,64.2,72.1,95.5,72.3,96.9,2026
39,Zhejiang University,China,54313,13.0,0.14,,78.3135,75.0,78.4,84.3,100.0,55.5,2026
40,Shanghai Jiao Tong University,China,41507,12.5,0.11,36 : 64,77.5695,75.4,79.1,80.2,100.0,57.7,2026
41,McGill University,Canada,30196,11.7,0.29,"2 days, 13:39:00",77.1269999999999,71.0,70.8,86.2,77.5,89.2,2026
42,Georgia Institute of Technology,United States,33325,28.3,0.32,34 : 66,77.1144999999999,60.8,75.8,90.4,99.1,81.5,2026
43,University of Illinois at Urbana-Champaign,United States,50640,18.9,0.23,"1 day, 23:53:00",77.072,67.9,80.7,85.3,84.4,62.3,2026
44,The Chinese University of Hong Kong,Hong Kong,18461,18.2,0.25,,77.0595,63.2,63.8,97.9,90.9,92.1,2026
45,University of British Columbia,Canada,60112,18.7,0.34,"2 days, 7:45:00",77.029,64.1,73.9,88.6,77.4,93.5,2026
46,KU Leuven,Belgium,50336,37.1,0.21,"2 days, 4:48:00",76.8154999999999,61.3,73.8,91.3,100.0,79.2,2026
47,"University of California, San Diego",United States,40586,9.8,0.23,"2 days, 3:49:00",76.5385,66.4,63.7,97.1,100.0,71.3,2026
48,Paris Sciences et Lettres â€“ PSL Research University Paris,France,15646,14.5,0.2,"2 days, 4:48:00",76.4815,74.2,71.8,79.8,99.7,77.9,2026
49,UniversitÃ¤t Heidelberg,Germany,20091,8.0,0.24,"2 days, 8:44:00",76.3075,68.3,61.4,95.3,93.7,80.2,2026
50,University of Texas at Austin,United States,51158,17.0,0.1,"2 days, 8:44:00",75.828,67.8,76.0,90.1,82.3,46.2,2026
51,University of Science and Technology of China,China,22955,8.2,0.05,,75.6435,72.9,69.8,89.0,98.9,43.2,2026
52,London School of Economics and Political Science,United Kingdom,12625,12.3,0.72,"2 days, 9:43:00",75.4525,60.5,71.2,93.4,46.8,94.2,2026
53,The University of Sydney,Australia,51531,22.4,0.53,,75.06,59.2,67.5,91.5,98.9,88.2,2026
54,University of Wisconsin-Madison,United States,45254,10.7,0.15,,75.0445,70.3,68.8,88.0,82.6,62.0,2026
55,Karolinska Institute,Sweden,8123,9.8,0.23,"2 days, 22:30:00",74.9949999999999,59.6,66.0,95.5,94.7,77.8,2026
56,University of Manchester,United Kingdom,43470,14.9,0.46,"2 days, 9:43:00",74.9325,61.2,65.9,92.4,74.0,94.5,2026
57,Delft University of Technology,Netherlands,21410,14.8,0.35,32 : 68,74.246,64.1,75.1,75.5,100.0,92.1,2026
58,The Hong Kong University of Science and Technology,Hong Kong,8912,14.3,0.48,,74.123,56.2,60.6,95.6,100.0,97.2,2026
59,Seoul National University,South Korea,26783,15.3,0.16,,74.094,74.1,74.8,77.6,100.0,43.5,2026
60,Monash University,Australia,56287,30.6,0.36,"2 days, 6:46:00",74.0899999999999,54.3,65.5,94.0,99.6,91.9,2026
61,Kyoto University,Japan,21617,9.0,0.11,25 : 75,73.961,86.4,82.7,56.9,100.0,45.6,2026
62,University of Amsterdam,Netherlands,31035,12.6,0.39,"2 days, 12:40:00",73.7445,55.4,63.6,96.6,76.0,92.5,2026
63,Nanjing University,China,34217,14.1,0.1,"2 days, 11:41:00",73.7139999999999,69.6,66.2,85.1,99.6,59.6,2026
64,"University of California, Davis",United States,38565,13.6,0.22,"2 days, 10:42:00",72.8189999999999,63.9,66.4,84.9,86.5,77.1,2026
65,Brown University,United States,10887,10.3,0.22,,72.5865,70.0,61.0,87.4,69.6,69.9,2026
66,Wageningen University & Research,Netherlands,15905,16.9,0.31,"2 days, 6:46:00",72.193,58.6,58.4,90.4,99.5,91.6,2026
67,Washington University in St Louis,United States,15165,8.2,0.28,"2 days, 4:48:00",71.999,60.8,56.2,97.5,74.5,73.8,2026
68,UniversitÃ© Paris-Saclay,France,32807,14.0,0.25,"2 days, 2:50:00",71.6445,67.9,62.2,80.6,92.4,76.0,2026
69,Institut Polytechnique de Paris,France,6217,7.6,0.43,1.0118055555555556,71.6434999999999,71.8,62.4,70.9,99.1,95.1,2026
70,Leiden University,Netherlands,34441,17.6,0.22,"2 days, 10:42:00",71.3344999999999,49.3,63.3,93.6,99.1,85.2,2026
71,Korea Advanced Institute of Science and Technology (KAIST),South Korea,10728,11.9,0.11,24 : 76,71.2865,66.7,67.5,82.4,100.0,44.2,2026
72,"University of California, Santa Barbara",United States,25735,22.9,0.18,"2 days, 7:45:00",71.2394999999999,50.3,63.2,94.5,92.7,80.2,2026
73,City University of Hong Kong,Hong Kong,8219,12.4,0.76,"2 days, 6:46:00",71.1404999999999,56.5,52.7,92.7,100.0,98.4,2026
74,Australian National University,Australia,17243,13.3,0.51,"2 days, 6:46:00",71.1075,56.7,62.6,85.7,86.3,94.2,2026
75,University of Southern California,United States,42840,13.3,0.27,"2 days, 5:47:00",71.0934999999999,59.8,59.6,92.7,74.9,71.5,2026
76,Sorbonne University,France,38923,13.6,0.23,"2 days, 13:39:00",70.394,67.6,59.2,81.6,73.1,78.4,2026
77,Boston University,United States,29239,11.4,0.33,"2 days, 10:42:00",70.365,61.2,56.5,91.8,72.4,73.2,2026
78,University of North Carolina at Chapel Hill,United States,34813,8.0,0.1,"2 days, 13:39:00",70.2734999999999,63.8,59.6,91.3,75.9,49.9,2026
79,UNSW Sydney,Australia,47144,32.5,0.44,"1 day, 21:55:00",70.0075,50.2,57.7,91.9,96.7,93.7,2026
80,University of Bristol,United Kingdom,29680,14.2,0.35,"2 days, 8:44:00",69.737,51.4,56.5,94.4,74.6,91.8,2026
81,The University of Queensland,Australia,41295,23.6,0.43,"2 days, 6:46:00",69.7004999999999,50.9,60.9,87.6,97.6,91.2,2026
82,The Hong Kong Polytechnic University,Hong Kong,18636,17.8,0.42,"2 days, 2:50:00",69.6739999999999,51.9,55.4,91.8,86.5,97.3,2026
83,University of Groningen,Netherlands,33098,23.4,0.28,"2 days, 6:46:00",69.2894999999999,47.4,55.9,94.1,99.7,91.7,2026
84,University of Glasgow,United Kingdom,34075,13.4,0.45,"2 days, 12:40:00",68.9254999999999,50.6,52.2,95.9,73.2,95.5,2026
85,Purdue University West Lafayette,United States,43555,18.5,0.2,"1 day, 19:57:00",68.7785,62.1,66.3,73.8,86.3,75.2,2026
86,Yonsei University (Seoul campus),South Korea,19066,15.3,0.17,"2 days, 3:49:00",68.4799999999999,58.7,57.4,87.8,100.0,55.7,2026
87,Sungkyunkwan University (SKKU),South Korea,19012,15.8,0.22,"2 days, 1:51:00",68.2645,60.2,57.5,83.4,99.7,64.3,2026
88,University of Minnesota,United States,58751,11.9,0.09,"2 days, 7:45:00",67.4769999999999,60.3,59.0,84.1,99.9,44.7,2026
89,Humboldt University of Berlin,Germany,34833,42.1,0.18,,67.1969999999999,52.6,60.6,85.5,65.9,77.6,2026
90,University of Copenhagen,Denmark,31425,4.2,0.14,"2 days, 15:37:00",67.1184999999999,51.3,52.2,91.3,92.8,76.6,2026
91,CharitÃ© - UniversitÃ¤tsmedizin Berlin,Germany,9520,18.1,0.21,"2 days, 17:35:00",66.937,47.2,48.7,98.2,100.0,72.4,2026
92,RWTH Aachen University,Germany,27662,35.1,0.33,35 : 65,66.7479999999999,54.9,63.0,76.7,100.0,70.3,2026
93,Vanderbilt University,United States,12863,3.8,0.18,"2 days, 7:45:00",66.736,53.8,48.1,95.6,91.9,60.8,2026
94,University of Bonn,Germany,24491,34.1,0.16,"2 days, 10:42:00",66.6895,51.5,56.6,88.5,78.7,71.8,2026
95,University of Vienna,Austria,30228,36.6,0.34,"2 days, 17:35:00",66.601,50.0,60.9,79.8,80.0,94.0,2026
96,Lund University,Sweden,23748,10.2,0.22,"2 days, 8:44:00",66.5655,49.1,56.7,85.7,99.7,79.2,2026
97,"University of California, Irvine",United States,35079,15.3,0.24,"2 days, 6:46:00",66.4315,47.8,52.8,91.2,98.4,76.3,2026
98,University of TÃ¼bingen,Germany,21627,22.5,0.15,"2 days, 11:41:00",66.3254999999999,49.1,53.8,89.0,98.6,74.6,2026
99,KTH Royal Institute of Technology,Sweden,15263,18.2,0.28,31 : 69,66.277,51.1,57.3,79.7,97.2,90.5,2026
100,University of Birmingham,United Kingdom,34145,14.6,0.35,"2 days, 8:44:00",66.258,47.7,48.4,93.7,74.2,94.3,2026
101,Aarhus University,Denmark,25370,12.8,0.12,"2 days, 12:40:00",66.1985,48.6,58.8,83.9,99.8,75.3,2026
102,Emory University,United States,13652,4.0,0.2,"2 days, 13:39:00",65.941,53.8,46.2,94.6,82.8,66.4,2026
103,Rice University,United States,8223,10.3,0.31,"1 day, 19:57:00",65.8395,56.7,46.8,88.1,72.9,82.6,2026
104,University of Helsinki,Finland,22974,15.8,0.07,"2 days, 20:32:00",65.738,50.4,57.3,90.1,70.7,58.6,2026
105,Tohoku University,Japan,17349,12.6,0.13,28 : 72,65.7274999999999,70.9,70.8,52.8,100.0,59.2,2026
106,Michigan State University,United States,45537,16.5,0.1,"2 days, 5:47:00",65.709,57.1,55.9,82.7,69.9,67.3,2026
107,Erasmus University Rotterdam,Netherlands,31507,21.1,0.26,"2 days, 6:46:00",65.569,38.5,52.9,95.9,89.2,87.1,2026
108,Ohio State University (Main campus),United States,54645,9.8,0.12,"2 days, 4:48:00",65.432,57.4,51.7,85.7,85.4,58.4,2026
109,University of Bern,Switzerland,11959,17.4,0.18,"2 days, 11:41:00",65.4255,46.6,47.0,92.0,99.4,86.3,2026
110,Penn State (Main campus),United States,48746,15.1,0.16,"1 day, 23:53:00",65.404,54.8,61.9,80.4,70.8,57.8,2026
111,University of Sheffield,United Kingdom,29305,15.2,0.41,"2 days, 5:47:00",65.3465,49.7,49.1,88.3,79.4,90.4,2026
112,University of Massachusetts,United States,62471,12.8,0.15,"2 days, 3:49:00",65.2779999999999,55.0,46.6,87.9,88.6,75.0,2026
113,Free University of Berlin,Germany,24851,43.9,0.24,"2 days, 15:37:00",65.2344999999999,50.2,58.3,82.2,72.4,79.5,2026
114,University of Oslo,Norway,20102,11.7,0.18,"2 days, 16:36:00",65.1614999999999,47.8,52.5,90.3,75.2,76.5,2026
115,Ghent University,Belgium,42572,37.8,0.14,"2 days, 10:42:00",65.1385,48.8,58.6,82.7,99.9,65.9,2026
116,McMaster University,Canada,28647,28.8,0.23,"2 days, 9:43:00",65.0209999999999,42.2,49.3,93.1,100.0,84.6,2026
117,"University of Maryland, College Park",United States,33483,16.3,0.1,"2 days, 2:50:00",64.9524999999999,50.4,58.3,89.1,69.5,48.9,2026
118,University of Leeds,United Kingdom,35600,14.4,0.39,"2 days, 12:40:00",64.8795,48.3,50.3,87.2,71.6,93.6,2026
119,University of Alberta,Canada,33938,21.6,0.28,,64.6105,49.1,55.4,78.1,100.0,88.4,2026
120,University of Basel,Switzerland,8655,11.1,0.32,"2 days, 9:43:00",64.5279999999999,50.2,42.8,87.5,99.8,94.2,2026
121,Technical University of Denmark,Denmark,11254,8.8,0.37,34 : 66,64.34,51.2,46.5,82.6,99.9,93.0,2026
122,University of GÃ¶ttingen,Germany,19783,22.1,0.14,"2 days, 6:46:00",64.1135,49.4,52.7,87.2,71.0,70.1,2026
123,University of Warwick,United Kingdom,26515,13.2,0.44,"2 days, 2:50:00",64.1125,48.1,49.3,85.6,69.4,95.6,2026
124,Wuhan University,China,49045,13.5,0.06,,64.104,54.0,48.4,90.1,99.7,41.6,2026
125,University of Lausanne,Switzerland,14241,9.8,0.23,,63.7435,44.3,46.1,89.0,99.4,88.4,2026
126,University of Hamburg,Germany,28389,55.3,0.13,"2 days, 10:42:00",63.6855,45.7,52.8,87.1,99.8,63.6,2026
127,University of Rochester,United States,10505,8.1,0.36,"2 days, 4:48:00",63.6134999999999,51.8,44.5,86.3,92.0,78.1,2026
128,Uppsala University,Sweden,20953,10.9,0.18,"2 days, 11:41:00",63.4564999999999,47.4,54.9,81.3,95.0,71.5,2026
129,University of Southampton,United Kingdom,24355,14.3,0.46,"2 days, 6:46:00",63.3345,44.6,45.4,89.6,73.1,96.1,2026
130,University of Bologna,Italy,75831,22.4,0.16,"2 days, 10:42:00",63.2854999999999,54.2,50.1,83.3,82.5,59.7,2026
131,Maastricht University,Netherlands,21903,16.4,0.6,"2 days, 12:40:00",63.2565,41.4,46.1,88.3,98.3,96.7,2026
132,Harbin Institute of Technology,China,32375,11.0,0.04,,63.2044999999999,57.2,57.7,77.2,100.0,32.5,2026
133,Lomonosov Moscow State University,Russian Federation,31603,9.7,0.38,"2 days, 3:49:00",63.0545,80.9,69.7,32.9,93.4,71.6,2026
134,Adelaide University,Australia,43623,30.4,0.27,"2 days, 7:45:00",63.0524999999999,38.3,48.9,89.5,99.7,89.8,2026
135,University of Florida,United States,47815,15.5,0.1,"2 days, 8:44:00",62.92,55.3,56.7,76.2,90.9,48.9,2026
136,Beijing Normal University,China,29655,15.5,0.07,,62.893,59.6,49.3,80.9,89.1,42.4,2026
137,Queen Mary University of London,United Kingdom,25135,14.3,0.46,"2 days, 5:47:00",62.853,38.7,42.6,95.7,76.5,97.5,2026
138,Scuola Normale Superiore di Pisa,Italy,700,8.8,0.11,30 : 70,62.7635,58.6,46.9,86.4,37.7,59.3,2026
139,University of Freiburg,Germany,20405,19.6,0.18,"2 days, 7:45:00",62.643,46.7,47.4,84.5,99.7,77.1,2026
140,University of Arizona,United States,52414,20.9,0.07,"2 days, 9:43:00",62.555,48.3,52.5,86.1,80.6,53.7,2026
141,National Taiwan University (NTU),Taiwan,18743,9.7,0.24,"1 day, 20:56:00",62.464,59.4,54.9,68.6,100.0,59.2,2026
142,Pohang University of Science and Technology (POSTECH),South Korea,3234,9.2,0.07,,62.306,58.3,49.5,79.2,100.0,39.9,2026
143,Tongji University,China,33414,11.9,0.16,"1 day, 17:59:00",62.2865,53.2,53.6,74.3,99.9,63.5,2026
144,University of Liverpool,United Kingdom,26770,13.9,0.33,"2 days, 7:45:00",62.2175,43.5,42.0,91.2,68.0,95.0,2026
145,Newcastle University,United Kingdom,26400,15.0,0.28,"2 days, 6:46:00",62.0815,39.8,43.2,93.0,80.0,89.5,2026
146,University of Nottingham,United Kingdom,35470,15.5,0.28,"2 days, 7:45:00",62.0269999999999,45.8,43.3,87.3,72.1,91.8,2026
147,University of Macau,Macao,12258,19.4,0.51,"2 days, 5:47:00",62.0075,40.2,40.9,92.9,87.0,92.5,2026
148,Case Western Reserve University,United States,11514,9.9,0.26,"2 days, 3:49:00",61.97,51.8,42.2,88.7,74.9,64.6,2026
149,University of Technology Sydney,Australia,29729,37.7,0.26,"2 days, 3:49:00",61.9555,36.8,42.6,94.1,88.7,92.9,2026
150,University of Barcelona,Spain,45016,14.9,0.12,"2 days, 16:36:00",61.9329999999999,44.0,47.8,88.5,92.4,64.6,2026
151,UniversitÃ© de MontrÃ©al,Canada,39749,15.5,0.23,,61.9154999999999,41.4,50.5,83.1,95.5,84.1,2026
152,The University of Osaka,Japan,22367,10.4,0.12,33 : 67,61.8439999999999,65.9,64.9,53.3,100.0,47.9,2026
153,Texas A&M University,United States,68486,22.6,0.08,"1 day, 23:53:00",61.7755,52.5,57.2,73.4,73.5,63.2,2026
154,The University of Western Australia,Australia,19880,23.6,0.3,"2 days, 3:49:00",61.7164999999999,38.7,45.1,87.6,98.4,93.4,2026
155,Radboud University Nijmegen,Netherlands,23615,16.1,0.13,"2 days, 10:42:00",61.537,38.5,49.7,89.3,82.1,75.9,2026
156,University of York,United Kingdom,20330,14.3,0.29,"2 days, 9:43:00",61.4895,44.1,43.9,87.5,67.6,90.6,2026
157,University of Pittsburgh-Pittsburgh campus,United States,27492,5.4,0.11,"2 days, 3:49:00",61.4479999999999,49.2,43.3,92.0,76.8,49.4,2026
158,University of Auckland,New Zealand,33639,23.3,0.33,"2 days, 7:45:00",61.428,40.4,46.8,85.7,92.2,87.2,2026
159,Korea University,South Korea,21728,17.5,0.38,,61.406,52.4,51.3,73.3,99.9,67.8,2026
160,University of Colorado Boulder,United States,37094,17.0,0.08,"1 day, 22:54:00",61.3184999999999,47.5,51.6,84.1,77.3,53.6,2026
161,Technical University of Berlin,Germany,20180,46.9,0.29,36 : 64,61.0665,45.2,52.8,77.8,95.2,70.3,2026
162,Southern University of Science and Technology (SUSTech),China,8193,9.6,0.01,,60.9575,39.6,44.2,93.9,88.5,63.3,2026
163,University of Waterloo,Canada,34772,22.7,0.21,"1 day, 23:53:00",60.913,42.7,47.6,83.4,77.0,85.5,2026
164,University of St Andrews,United Kingdom,11265,12.9,0.49,"2 days, 11:41:00",60.9,50.6,43.3,78.2,71.9,94.4,2026
165,University of Cologne,Germany,27278,23.0,0.18,,60.8155,44.5,46.5,83.9,94.2,70.2,2026
166,University of Cape Town,South Africa,20094,12.6,0.12,"2 days, 8:44:00",60.7405,39.4,46.7,87.8,84.8,77.9,2026
167,Karlsruhe Institute of Technology,Germany,19911,23.1,0.25,30 : 70,60.7369999999999,49.3,54.9,69.3,100.0,73.1,2026
168,University of Geneva,Switzerland,17681,7.8,0.41,"2 days, 15:37:00",60.7164999999999,43.8,40.0,85.2,85.7,96.1,2026
169,Macquarie University,Australia,29826,50.2,0.25,,60.711,35.9,42.5,90.9,97.2,88.5,2026
170,Institute of Science Tokyo,Japan,13407,8.3,0.17,1.0118055555555556,60.6895,66.9,60.5,52.7,92.1,52.2,2026
171,University of Virginia (Main campus),United States,25795,8.8,0.13,"2 days, 7:45:00",60.6799999999999,51.1,41.7,86.6,79.0,58.3,2026
172,Sapienza University of Rome,Italy,60428,27.3,0.07,"2 days, 13:39:00",60.6509999999999,55.9,53.5,73.4,85.2,42.9,2026
173,University of Antwerp,Belgium,16836,32.6,0.17,"2 days, 9:43:00",60.6475,38.9,44.3,89.6,98.5,73.4,2026
174,University of Exeter,United Kingdom,29280,15.7,0.29,"2 days, 6:46:00",60.575,36.6,42.1,94.0,59.1,93.4,2026
175,Trinity College Dublin,Ireland,20188,19.4,0.4,"2 days, 14:38:00",60.495,42.8,44.9,83.2,76.2,91.2,2026
176,TU Dresden,Germany,20631,21.0,0.15,"2 days, 1:51:00",60.448,47.1,50.0,77.0,99.9,66.1,2026
177,Durham University,United Kingdom,21470,13.2,0.34,"2 days, 6:46:00",60.262,45.2,44.9,81.0,62.8,94.6,2026
178,Huazhong University of Science and Technology,China,61789,16.2,0.04,,60.2265,46.6,48.4,87.1,99.9,30.9,2026
179,Vrije Universiteit Amsterdam,Netherlands,31949,15.8,0.2,"2 days, 9:43:00",60.2059999999999,37.7,41.8,91.8,77.5,84.3,2026
180,University of WÃ¼rzburg,Germany,20904,33.6,0.11,"2 days, 12:40:00",60.1414999999999,39.6,43.5,91.2,99.8,59.9,2026
181,Dartmouth College,United States,6627,7.4,0.19,"2 days, 0:52:00",60.0104999999999,56.3,38.5,81.8,72.8,63.8,2026
182,"University of California, Santa Cruz",United States,19357,23.6,0.1,"1 day, 23:53:00",59.892,38.3,41.7,93.2,75.7,73.5,2026
183,Medical University of Vienna,Austria,7531,17.9,0.3,"2 days, 6:46:00",59.8765,36.3,36.8,94.2,99.9,83.2,2026
184,Universitat AutÃ²noma de Barcelona (UAB),Spain,33006,13.5,0.16,"2 days, 12:40:00",59.7619999999999,44.9,44.8,84.6,73.3,69.5,2026
185,Lancaster University,United Kingdom,16935,14.9,0.34,"2 days, 0:52:00",59.728,40.9,40.8,86.7,67.2,95.1,2026
186,King Fahd University of Petroleum and Minerals,Saudi Arabia,5960,8.3,0.28,26 : 74,59.69,36.3,43.2,85.7,94.4,92.9,2026
187,UniversitÃ© Catholique de Louvain,Belgium,27280,39.4,0.21,"2 days, 7:45:00",59.6735,40.0,47.7,80.7,95.2,80.3,2026
188,University of Ottawa,Canada,40753,28.7,0.29,"2 days, 10:42:00",59.527,38.2,44.5,85.4,81.7,86.2,2026
189,Pompeu Fabra University,Spain,12225,21.3,0.17,"2 days, 14:38:00",59.4555,36.6,45.3,87.5,81.6,80.1,2026
190,Tufts University,United States,12718,10.5,0.18,"2 days, 11:41:00",59.363,51.3,34.7,88.2,76.6,61.9,2026
191,University of Twente,Netherlands,8204,9.5,0.43,37 : 63,59.3175,45.7,45.0,73.0,98.9,92.4,2026
192,UniversitÃ© Paris CitÃ©,France,66075,18.2,0.22,"2 days, 16:36:00",59.2905,44.4,38.0,89.9,68.0,73.1,2026
193,University of Leicester,United Kingdom,16435,14.5,0.37,"2 days, 5:47:00",59.204,35.4,34.9,95.9,69.0,94.8,2026
194,Eindhoven University of Technology,Netherlands,10823,19.1,0.36,30 : 70,59.1714999999999,47.7,49.5,67.0,100.0,88.6,2026
195,University of Notre Dame,United States,12781,10.5,0.14,"1 day, 23:53:00",59.0505,52.8,45.8,73.5,72.5,69.9,2026
196,Aalto University,Finland,15131,21.3,0.26,39 : 61,59.017,44.3,43.4,78.9,91.0,80.7,2026
197,The Education University of Hong Kong,Hong Kong,5692,13.0,0.27,"2 days, 15:37:00",59.0104999999999,35.8,38.9,91.6,74.4,89.5,2026
198,University of MÃ¼nster,Germany,26499,23.7,0.07,,58.9625,43.9,47.2,83.2,82.1,54.4,2026
199,Indiana University,United States,67529,11.5,0.13,"2 days, 5:47:00",58.8775,47.1,36.9,87.3,85.3,62.4,2026
200,Queenâ€™s University Belfast,United Kingdom,21900,17.0,0.49,"2 days, 10:42:00",58.785,34.7,38.4,90.8,70.0,98.3,2026
201,University of Reading,United Kingdom,15970,15.8,0.31,"2 days, 6:46:00",58.6515,41.7,38.1,85.2,66.9,94.2,2026
202,University of Calgary,Canada,35954,20.3,0.26,"2 days, 5:47:00",58.6335,37.8,43.1,83.6,91.4,83.3,2026
203,Friedrich Schiller University Jena,Germany,14754,16.0,0.14,,58.553,44.0,42.5,83.5,88.7,62.0,2026
204,Stockholm University,Sweden,27746,16.2,0.14,,58.4599999999999,33.5,48.4,87.2,66.1,76.5,2026
205,Universiti Teknologi Petronas,Malaysia,4262,13.0,0.13,38 : 62,58.3765,41.6,40.3,82.4,94.5,78.9,2026
206,University of Mannheim,Germany,7902,36.1,0.17,,58.3304999999999,37.0,44.5,85.5,88.2,71.1,2026
207,University of Erlangen-Nuremberg,Germany,28153,34.2,0.2,"2 days, 3:49:00",58.1815,41.7,46.5,78.6,100.0,64.2,2026
208,Tianjin University,China,27866,8.7,0.15,,58.056,49.2,47.0,73.2,99.8,52.8,2026
209,Georgetown University,United States,17348,9.5,0.19,"2 days, 8:44:00",57.9985,52.2,35.3,82.1,93.0,53.5,2026
210,Deakin University,Australia,37191,33.3,0.25,"2 days, 10:42:00",57.9975,31.6,38.4,91.7,86.3,87.7,2026
