Name,Country,Region,QS Rank,QS Overall Score,Academic Reputation SCORE,Employer Reputation SCORE,Faculty Student Ratio SCORE,Citations per Faculty SCORE,International Faculty  SCORE,International Student SCORE,International Students Diversity SCORE,International Research Network SCORE,Employment Outcomes SCORE,Sustainability SCORE,THE Rank,THE Overall Score,THE Student Population,THE Student Staff Ratio,THE International Students,THE Female Male Ratio,THE Teaching,THE Research Environment,THE Research Quality,THE Industry Impact,THE International Outlook,Year
university of nottingham,united kingdom,Europe,97,69.4,75.4,78.4,44.5,48.6,92.7,78.5,80.6,97.4,53.7,92.9,146,62.027,"35,470",15.5,28%,55:45:00,45.8,43.3,87.3,72.1,91.8,2026
karlsruhe institute of technology,germany,Europe,98,69.1,57.1,87.4,48.9,77.1,83.8,56.9,61.1,86.9,61.5,79.5,167,60.737,"19,911",23.1,25%,30 : 70,49.3,54.9,69.3,100,73.1,2026
politecnico di milano,italy,Europe,98,69.1,83.4,90.1,9.3,53.9,74.4,69.3,72.3,87,72,72.9,216,57.8525,"39,793",21.8,23%,36 : 64,46.2,51.9,67.8,98,65.5,2026
university of copenhagen,denmark,Europe,101,68.4,85.5,41.7,99.6,36.6,87.3,26.5,19.9,98,94.4,76.3,90,67.1185,"31,425",4.2,14%,63:37:00,51.3,52.2,91.3,92.8,76.6,2026
lomonosov moscow state university,russian federation,Europe,105,67.6,83.7,87.9,99.9,7.3,25.5,96,96.1,87,98.3,48.8,133,63.0545,"31,603",9.7,38%,51:49:00,80.9,69.7,32.9,93.4,71.6,2026
technical university of denmark,denmark,Europe,107,67.5,44.8,36.2,98.4,90.9,100,95.9,96.1,87.1,60.5,68,121,64.34,"11,254",8.8,37%,34 : 66,51.2,46.5,82.6,99.9,93,2026
tohoku university,japan,Asia,109,66.7,84.5,86.5,98.2,35.5,20.5,19.4,25.5,70.1,36.5,82,105,65.7275,"17,349",12.6,13%,28 : 72,70.9,70.8,52.8,100,59.2,2026
queen mary university of london,united kingdom,Europe,110,66.6,63.6,47.1,31,83.4,99.9,99.9,99.9,91.9,40.1,82.4,137,62.853,"25,135",14.3,46%,53:47:00,38.7,42.6,95.7,76.5,97.5,2026
qatar university,qatar,Asia,112,66.5,43.3,56.5,73.8,73.3,100,98.6,98.6,89.6,98.9,72.2,221,57.5885,"9,539",8.2,38%,Unknown,32.4,38.1,89.1,79.1,94.5,2026
university of st andrews,united kingdom,Europe,113,66.4,61.5,74.9,63.8,51.3,98.8,99.7,99.7,87.7,28.9,86.2,164,60.9,"11,265",12.9,49%,59:41:00,50.6,43.3,78.2,71.9,94.4,2026
aalto university,finland,Europe,114,66.3,57.5,56.1,35.1,79.6,97.2,60,63.9,80.9,97.1,88.3,196,59.017,"15,131",21.3,26%,39 : 61,44.3,43.4,78.9,91,80.7,2026
pontificia universidad católica de chile,chile,Americas,116,66.1,98,98.6,35.1,14.2,42,7.8,11.9,81.2,99.9,80,468,47.212,"28,373",13.8,6%,Unknown,33.5,38.6,61.9,80.2,58.1,2026
university of helsinki,finland,Europe,116,66.1,74.5,37.7,66.9,62.7,78.5,13.1,19.1,96.1,94.2,95.6,104,65.738,"22,974",15.8,7%,68:32:00,50.4,57.3,90.1,70.7,58.6,2026
university college dublin,ireland,Europe,118,66,66.5,57.6,19.7,62,99.5,89.6,90.5,89,92.2,91.7,223,57.4665,"25,252",19.1,35%,Unknown,35.5,41.7,84,74.9,89.4,2026
leiden university,netherlands,Europe,119,65.7,80.4,46.3,30.3,64.9,89.7,68.4,50.9,94.3,61.2,58.6,70,71.3345,"34,441",17.6,22%,58:42:00,49.3,63.3,93.6,99.1,85.2,2026
university of oslo,norway,Europe,119,65.7,67.8,27.7,78.4,67.7,95.8,46,34.3,96.8,86.6,72.3,114,65.1615,"20,102",11.7,18%,64:36:00,47.8,52.5,90.3,75.2,76.5,2026
university of waterloo,canada,Americas,119,65.7,53,74.2,8.8,88.3,81.5,76.6,78.9,83.5,72,90.5,163,60.913,"34,772",22.7,21%,47:53:00,42.7,47.6,83.4,77,85.5,2026
rmit university,australia,Oceania,125,65.3,55.1,60.3,7.2,91.3,100,95.2,95.5,83.1,49.9,87.9,267,55.7425,"32,309",23.8,38%,49:51:00,35.2,36.2,82.5,78.2,93.1,2026
universiti kebangsaan malaysia,malaysia,Asia,126,65.2,76.2,76.4,78.7,30.1,50.1,94.7,94,86.1,35.5,74.7,347,51.7855,"20,341",11.4,31%,56:44:00,47.5,32.4,65.7,61.8,82.6,2026
sapienza university of rome,italy,Europe,128,64.9,90.7,66.4,7.8,62.9,4,14.8,20.9,95.9,91.5,81.9,172,60.651,"60,428",27.3,7%,61:39:00,55.9,53.5,73.4,85.2,42.9,2026
aarhus university,denmark,Europe,131,64.3,68.3,41.7,42.4,74.1,96.7,25.5,19.1,96.3,79.4,73.2,101,66.1985,"25,370",12.8,12%,60:40:00,48.6,58.8,83.9,99.8,75.3,2026
university of bath,united kingdom,Europe,132,64.2,48.9,81.6,20.5,75.9,95.6,86.8,88,85.3,50.7,83.8,263,55.894,"17,650",17.7,29%,46:54:00,39.8,35.1,81,67.1,93.2,2026
universiti putra malaysia,malaysia,Asia,134,64.1,75.7,73.4,66.8,38.3,45.2,98.4,98.5,86.8,23.2,68.9,552,45.152,"20,358",12.8,40%,64:36:00,40.7,31.6,51.7,57.1,82.5,2026
universiti sains malaysia,malaysia,Asia,134,64.1,77.6,79.8,47.6,38.4,34.7,99.3,99.3,92.5,29.1,74.5,412,49.5,"26,522",12.7,39%,63:37:00,42.9,30.3,65.8,64.5,76.5,2026
newcastle university,united kingdom,Europe,137,63.9,62.9,68.7,49.5,49.1,92.5,81,82.8,95.8,40.5,90.9,145,62.0815,"26,400",15,28%,54:46:00,39.8,43.2,93,80,89.5,2026
macquarie university,australia,Oceania,138,63.3,47.7,56.7,13.6,85.8,100,97.3,97.5,91,62.2,90.6,169,60.711,"29,826",50.2,25%,Unknown,35.9,42.5,90.9,97.2,88.5,2026
eindhoven university of technology,netherlands,Europe,140,63.2,40.5,77.3,43.6,81.9,100,95.7,95.9,74.3,33.1,74.1,194,59.1715,"10,823",19.1,36%,30 : 70,47.7,49.5,67,100,88.6,2026
erasmus university rotterdam,netherlands,Europe,140,63.2,49.4,74.8,20.7,75.7,81.8,81.6,60.8,81.8,94,62.2,107,65.569,"31,507",21.1,26%,54:46:00,38.5,52.9,95.9,89.2,87.1,2026
king saud university,saudi arabia,Asia,143,63.1,54.8,57.7,55.7,65.6,100,29.2,35.2,96.8,99.4,63.1,266,55.745,"42,846",11,11%,46:54:00,38.2,33.8,82.7,89.1,84,2026
stockholm university,sweden,Europe,147,62.5,65.1,29.5,28.3,73.6,83,79.4,59.1,96.7,90.5,72.1,204,58.46,"27,746",16.2,14%,Unknown,33.5,48.4,87.2,66.1,76.5,2026
university of groningen,netherlands,Europe,147,62.5,67.2,41.6,56.2,53,95.4,89.4,66.6,93.4,53.5,67.6,83,69.2895,"33,098",23.4,28%,54:46:00,47.4,55.9,94.1,99.7,91.7,2026
university of liverpool,united kingdom,Europe,147,62.5,60.7,48.8,37.3,61.7,92.4,91.1,91.8,97,47.8,92.4,144,62.2175,"26,770",13.9,33%,55:45:00,43.5,42,91.2,68,95,2026
university of cape town,south africa,Africa,150,62.3,58.2,62.3,14.6,75.4,66.1,27.9,33.9,97.7,97.7,92.1,166,60.7405,"20,094",12.6,12%,56:44:00,39.4,46.7,87.8,84.8,77.9,2026
western university,canada,Americas,151,62,42.3,53.5,5.2,93.5,100,68.7,71.7,83.6,98,94,215,57.884,"31,831",32.7,25%,56:44:00,39.9,42.6,77.5,99.8,86.9,2026
university of vienna,austria,Europe,152,61.9,82.3,46.4,31,22.2,100,96.6,96.8,96.3,92.8,71.8,95,66.601,"30,228",36.6,34%,65:35:00,50,60.9,79.8,80,94,2026
universiti teknologi malaysia,malaysia,Asia,153,61.6,64,72.1,58.8,57.8,15.5,91.4,92.1,90.6,19.9,69.2,437,48.429,"16,724",10.1,28%,48:52:00,44.5,29.5,62,71.1,70.7,2026
wageningen university and research,netherlands,Europe,153,61.6,55,34.4,99.5,54.8,72,90.7,91.5,97.2,32.9,91.2,66,72.193,"15,905",16.9,31%,54:46:00,58.6,58.4,90.4,99.5,91.6,2026
university of exeter,united kingdom,Europe,155,61.5,57.9,58.5,42,55.8,94.8,77.8,79.9,95.8,40.9,93.9,174,60.575,"29,280",15.7,29%,54:46:00,36.6,42.1,94,59.1,93.4,2026
university of geneva,switzerland,Europe,155,61.5,55.3,34.8,47.4,70.3,100,98.6,98.6,92.1,63.1,66.5,168,60.7165,"17,681",7.8,41%,63:37:00,43.8,40,85.2,85.7,96.1,2026
lancaster university,united kingdom,Europe,157,61.4,51.2,45.8,36.1,77.5,96.4,93.3,93.8,87,38.2,89.2,185,59.728,"16,935",14.9,34%,48:52:00,40.9,40.8,86.7,67.2,95.1,2026
university of basel,switzerland,Europe,158,61.3,34,20.7,70.2,94.2,100,91.4,68,90.4,74.9,88.4,120,64.528,"8,655",11.1,32%,57:43:00,50.2,42.8,87.5,99.8,94.2,2026
university of barcelona,spain,Europe,160,61,84.9,48.9,19,47.8,39.9,40.8,46.2,96.4,77,84.7,150,61.933,"45,016",14.9,12%,64:36:00,44,47.8,88.5,92.4,64.6,2026
ghent university,belgium,Europe,162,60.8,68.2,39.1,84.5,32.4,83.4,33.8,39.5,99.2,84.9,94,115,65.1385,"42,572",37.8,14%,58:42:00,48.8,58.6,82.7,99.9,65.9,2026
nagoya university,japan,Asia,164,60.3,74.2,71.5,84.2,38.2,22.6,27.6,33.6,66,39.2,74.1,218,57.7855,"15,559",13.3,13%,31 : 69,58.1,56.1,57,99.8,43.8,2026
chalmers university of technology,sweden,Europe,165,60.2,34.6,56.6,59.5,80.9,100,74.3,76.8,77,53.3,82.7,240,56.8745,"10,245",11.9,18%,33 : 67,42.6,45.9,71.2,97.1,76.7,2026
al farabi kazakh national university,kazakhstan,Asia,166,59.8,60.7,86.3,99.6,2.1,80.9,83.2,79.3,75.7,66.2,62.8,1419,28.4475,"20,321",4.5,26%,61:39:00,30.1,14.6,27.8,24.1,80.4,2026
university of york,united kingdom,Europe,169,59.4,56.8,42.3,55.8,53.8,92.4,75.4,77.8,96,41,93.2,156,61.4895,"20,330",14.3,29%,57:43:00,44.1,43.9,87.5,67.6,90.6,2026
hokkaido university,japan,Asia,170,59.3,71.5,68.8,76.8,42.7,28.2,20.5,26.6,77.5,26.4,78.5,376,50.6285,"17,693",8.3,11%,30 : 70,53.5,45.1,47.9,96.8,47,2026
kyushu university,japan,Asia,170,59.3,71.3,72.1,87.1,34.2,24.5,39,44.5,76.4,20.9,74.8,319,53.1885,"18,679",7.7,14%,29 : 71,54.2,46.5,53.5,98.8,49.5,2026
mcmaster university,canada,Americas,173,59.1,52.5,43.6,61.8,56.6,94.6,66.3,69.6,84.3,60,86.6,116,65.021,"28,647",28.8,23%,57:43:00,42.2,49.3,93.1,100,84.6,2026
national tsing hua university,taiwan,Asia,176,59,67,77.1,34.2,73.5,26.7,37.3,40.4,42.1,25.4,57.8,408,49.562,"14,807",22.9,14%,42:58:00,37.5,43.5,61.4,99.8,46.3,2026
cardiff university,united kingdom,Europe,181,57.8,60.1,54.4,48.2,42.2,87.2,70.1,73,93.4,33.5,88.9,232,57.1715,"27,880",13.7,24%,59:41:00,35.9,39.1,86,70.3,88.4,2026
curtin university,australia,Oceania,183,57.6,46.3,39.3,17.7,89.6,100,54.3,58.7,94.2,37.9,82,285,54.924,"29,539",19.9,35%,52:48:00,28.5,34.2,87.5,80.4,95.1,2026
university of bern,switzerland,Europe,184,57.5,38,26,49,99.3,100,52.9,57.4,95.5,37.2,68.9,109,65.4255,"11,959",17.4,18%,59:41:00,46.6,47,92,99.4,86.3,2026
university of wollongong,australia,Oceania,184,57.5,41.6,33.1,21.1,95.6,99.5,82.2,83.8,88.6,25.8,86.1,236,56.9495,"16,470",24.1,32%,54:46:00,34.3,36.6,85.4,89.8,93.4,2026
tecnológico de monterrey,mexico,Americas,187,57.1,69.9,93.9,69.4,4.8,24.5,18.3,24.4,74.6,97.4,73.8,711,41.0835,"17,141",14.1,14%,43:57:00,26.7,26.4,59.6,68.4,65.8,2026
université catholique de louvain,belgium,Europe,191,56.8,61.7,36,6.4,59.5,94.5,63.1,66.6,91.6,82,81.3,187,59.6735,"27,280",39.4,21%,55:45:00,40,47.7,80.7,95.2,80.3,2026
university of reading,united kingdom,Europe,194,56.2,45.7,46.8,20.2,63,95,85.8,87,93.3,57.6,92.4,201,58.6515,"15,970",15.8,31%,54:46:00,41.7,38.1,85.2,66.9,94.2,2026
vrije universiteit amsterdam,netherlands,Europe,194,56.2,53.3,28.8,23.3,80.7,82.9,57.6,42.9,90.1,56.4,68.8,179,60.206,"31,949",15.8,20%,57:43:00,37.7,41.8,91.8,77.5,84.3,2026
waseda university,japan,Asia,196,56.1,73.6,97.2,29.5,7.3,35.2,43.7,48.9,63.1,90.7,74.3,878,37.5985,"44,876",14.2,12%,39 : 61,34,26.9,43.5,68,53.3,2026
university of otago,new zealand,Oceania,197,55.8,60,36,14.8,63.2,100,39.6,45,76.5,68.7,88.2,377,50.581,"18,703",19.9,18%,60:40:00,34.1,34.3,72.4,69.3,81.1,2026
national yang ming chiao tung university,taiwan,Asia,199,55.7,42.1,68.5,55.4,71.8,29.1,31.9,37.7,54.1,75.8,74.1,436,48.444,"18,360",15.9,9%,37 : 63,42.3,42.7,55.3,100,39.9,2026
university of gothenburg,sweden,Europe,202,55.5,46.4,24.6,73,45.4,94.1,85.8,87.1,93.7,71,92.9,212,57.9785,"20,756",10.9,13%,Unknown,34.8,43.2,91.1,78.8,62.7,2026
national cheng kung university,taiwan,Asia,203,55.2,66.4,79.4,33.8,39.8,28.6,24.4,30.5,58,56.3,79.7,532,45.627,"21,726",19.9,11%,38 : 62,36.9,41.3,52,99.8,42.3,2026
university of twente,netherlands,Europe,203,55.2,29.3,40.5,56,77,100,95.2,70.8,85.4,32.6,79.6,191,59.3175,"8,204",9.5,43%,37 : 63,45.7,45,73,98.9,92.4,2026
deakin university,australia,Oceania,207,54.9,42.3,32.6,5.9,86.2,97.2,83.3,84.8,86.8,43.6,86.7,210,57.9975,"37,191",33.3,25%,58:42:00,31.6,38.4,91.7,86.3,87.7,2026
university of calgary,canada,Americas,211,54.7,47.6,50.5,24.4,54.6,87.4,76.9,79.1,86.2,61.5,86,202,58.6335,"35,954",20.3,26%,53:47:00,37.8,43.1,83.6,91.4,83.3,2026
university of lausanne,switzerland,Europe,212,54.6,37,40.2,49,69,100,67,49.9,83.5,61.1,70.3,125,63.7435,"14,241",9.8,23%,Unknown,44.3,46.1,89,99.4,88.4,2026
keio university,japan,Asia,215,54.5,65.5,93.8,65.2,9.4,15.2,19.6,25.8,55.6,95.8,68.9,761,39.875,"34,336",10.2,10%,37 : 63,37,28.3,49.1,73.7,41,2026
university of ottawa,canada,Americas,219,54.2,35.8,38.7,5.4,84.8,96.1,85.5,86.8,92.3,50,86.8,188,59.527,"40,753",28.7,29%,58:42:00,38.2,44.5,85.4,81.7,86.2,2026
chulalongkorn university,thailand,Asia,221,53.9,82,52.7,44.8,12.5,32,6.2,11,80.6,96.4,80,579,44.3495,"34,173",12,4%,55:45:00,39.5,31.3,56.1,82,46.8,2026
tel aviv university,israel,Asia,223,53.6,43.6,31,6.1,99.7,48.9,15.3,21.3,78.3,94.2,77,217,57.835,"24,379",22.7,7%,57:43:00,41.8,50.1,79.9,75,53.4,2026
universitas gadjah mada,indonesia,Asia,224,53.5,70.2,84.7,65.4,3,63,8.9,14.6,46.3,75.9,66,1228,31.695,"40,174",8.1,5%,58:42:00,33.1,24,31.3,57.2,43.9,2026
loughborough university,united kingdom,Europe,225,53.3,42.8,64.5,26.9,50.6,94.6,71.1,73.9,81.4,33.2,87.9,339,52.15,"18,345",15.4,25%,40 : 60,34.8,32.9,76.1,70.2,89.4,2026
queensland university of technology,australia,Oceania,226,53.2,51.6,38.8,11.6,70.9,96.6,44.8,49.9,83.4,25.6,88.5,210,57.9975,"33,182",36.8,18%,53:47:00,33,40.4,89.6,88.1,81.9,2026
university of newcastle,australia,Oceania,227,53.1,36,30.5,29.7,95.2,100,36.2,41.8,81.8,20.8,84.8,289,54.767,"22,320",29.2,20%,58:42:00,30,36.8,84.9,86.5,84.2,2026
université libre de bruxelles,belgium,Europe,227,53.1,43.3,46.8,4.6,60.3,99.2,89.6,90.4,90.9,74.8,65.2,224,57.458,"33,462",54.1,32%,58:42:00,36.7,44.8,81.3,68.3,86.9,2026
united arab emirates university,united arab emirates,Asia,229,53,43.3,58.1,55.1,35.1,100,39.1,44.4,88.9,87.9,68.6,235,57.063,"9,024",13.9,18%,73:27:00,28.7,38.1,91.8,86.5,87.3,2026
massey university,new zealand,Oceania,230,52.9,42.1,24.1,57.3,50.5,99.4,98.9,98.9,82.2,60.7,83.7,519,45.7665,"15,413",16.5,30%,64:36:00,30.1,29.2,62.3,81.6,86.2,2026
university of lisbon,portugal,Europe,230,52.9,57.1,46.3,15.5,51.4,14.3,58.6,62.6,98.4,97.3,79.3,426,48.871,"50,344",18.1,23%,54:46:00,31.1,41.8,66.8,75.3,60.3,2026
la trobe university,australia,Oceania,233,52.1,33.4,29,13.2,87.8,95.6,97.4,97.5,82.1,28,82.2,264,55.857,"21,509",31.2,37%,Unknown,29.5,36.8,88.9,79,88.7,2026
