university_name,country,year,ranking_source,rank,score
Southern University of Science and Technology (SUSTech),China (Mainland),2026,QS,343,41.8
University of Pisa,Italy,2026,QS,343,41.8
National Taiwan University of Science and Technology (Taiwan Tech),Taiwan,2026,QS,345,41.7
Pontificia Universidad Católica del Perú (PUCP),Peru,2026,QS,345,41.7
Cairo University,Egypt,2026,QS,347,41.6
Tilburg University,Netherlands,2026,QS,347,41.6
University of Coimbra,Portugal,2026,QS,347,41.6
Technion - Israel Institute of Technology,Israel,2026,QS,350,41.5
Universität Innsbruck,Austria,2026,QS,350,41.5
University of Münster,Germany,2026,QS,350,41.5
University of Tsukuba,Japan,2026,QS,350,41.5
Quaid-i-azam University,Pakistan,2026,QS,354,41.3
Nankai University,China (Mainland),2026,QS,355,41.2
National Technical University of Athens,Greece,2026,QS,355,41.2
Università degli Studi di Roma - Tor Vergata,Italy,2026,QS,355,41.2
George Washington University,United States of America,2026,QS,358,41.1
Mahidol University,Thailand,2026,QS,358,41.1
University of Victoria,Canada,2026,QS,358,41.1
Virginia Polytechnic Institute (Virginia Tech),United States of America,2026,QS,358,41.1
University of Chinese Academy of Sciences (UCAS),China (Mainland),2026,QS,362,40.9
University of Pretoria,South Africa,2026,QS,362,40.9
University of Tartu,Estonia,2026,QS,362,40.9
University of the Philippines,Philippines,2026,QS,362,40.9
University of Turku,Finland,2026,QS,366,40.6
RUDN University,Russian Federation,2026,QS,367,40.5
Sciences Po Paris,France,2026,QS,367,40.5
Universiti Brunei Darussalam (UBD),Brunei Darussalam,2026,QS,367,40.5
Daegu Gyeongbuk Institute of Science and Technology (DGIST),Republic of Korea,2026,QS,370,40.4
Bogazici University,Türkiye,2026,QS,371,40.3
National University of Sciences And Technology (NUST) Islamabad,Pakistan,2026,QS,371,40.3
Pontificia Universidad Javeriana,Colombia,2026,QS,371,40.3
Oxford Brookes University,United Kingdom,2026,QS,374,40
Saint Petersburg State University,Russian Federation,2026,QS,375,39.9
Sharif University of Technology,Iran (Islamic Republic of),2026,QS,375,39.9
South China University of Technology,China (Mainland),2026,QS,377,39.8
University of Saskatchewan,Canada,2026,QS,378,39.6
University of Liege,Belgium,2026,QS,379,39.5
University of Naples - Federico II,Italy,2026,QS,379,39.5
The American University in Cairo,Egypt,2026,QS,381,39.4
University of East Anglia (UEA),United Kingdom,2026,QS,381,39.4
