University,Country,QS_Rank,Overall_Score_QS,Academic_Reputation,Employer_Reputation,Citations_per_Faculty,Faculty_Student_Ratio,International_Students,THE_Rank,Overall_Score,Teaching,Research,Citations,Industry_Income,International_Outlook,Global Ranking Score,Research Impact Score,Teaching Quality Score,Ranking KPI,Research KPI,Teaching KPI,Overall KPI Score,KPI Rank,Performance Category
Pohang University of Science And Technology (POSTECH),Republic of Korea,102.0,67.9,61.3,83.3,98.3,99.9,7.000000000000001,142.0,62.306,58.3,49.5,79.2,100.0,39.9,93.09,75.67,79.1,93.09,75.67,79.0,83.64,31,Very Good
University of Toronto,Canada,29.0,88.5,100.0,99.1,68.8,45.7,39.0,21.0,88.4544999999999,78.2,92.9,92.3,95.8,92.3,98.48,84.67,61.95,98.48,84.67,62.0,83.39,32,Very Good
The Hong Kong University of Science and Technology,"Hong Kong SAR, China",44.0,84.8,89.4,69.7,100.0,67.5,48.0,58.0,74.123,56.2,60.6,95.6,100.0,97.2,97.09,85.4,61.85,97.09,85.4,62.0,83.06,33,Very Good
McGill University,Canada,27.0,88.9,98.1,93.5,72.4,67.3,28.999999999999996,41.0,77.1269999999999,71.0,70.8,86.2,77.5,89.2,98.09,76.47,69.15,98.09,76.47,69.0,82.88,34,Very Good
The Hong Kong Polytechnic University,"Hong Kong SAR, China",54.0,81.2,81.2,47.5,98.7,77.1,42.0,82.0,69.6739999999999,51.9,55.4,91.8,86.5,97.3,96.18,81.97,64.5,96.18,81.97,64.0,82.26,35,Very Good
University of Washington,United States of America,81.0,72.7,90.1,74.8,69.2,49.2,18.0,25.0,83.7164999999999,77.0,80.0,97.6,81.6,70.1,96.53,82.27,63.1,96.53,82.27,63.0,82.19,36,Very Good
Technical University of Denmark,Denmark,107.0,67.5,44.8,36.2,90.9,98.4,37.0,121.0,64.34,51.2,46.5,82.6,99.9,93.0,93.39,73.33,74.8,93.39,73.33,75.0,81.86,37,Very Good
Wageningen University & Research,Netherlands,153.0,61.6,55.0,34.4,54.8,99.5,31.0,66.0,72.193,58.6,58.4,90.4,99.5,91.6,93.02,67.87,79.05,93.02,67.87,79.0,81.27,38,Very Good
Emory University,United States of America,182.0,57.7,34.5,37.7,85.7,92.8,20.0,102.0,65.941,53.8,46.2,94.6,82.8,66.4,91.16,75.5,73.3,91.16,75.5,73.0,81.01,39,Very Good
University of Wisconsin-Madison,United States of America,110.0,66.6,85.7,63.1,28.1,84.3,15.0,54.0,75.0445,70.3,68.8,88.0,82.6,62.0,94.83,61.63,77.3,94.83,61.63,77.0,79.52,40,Very Good
Delft University of Technology,Netherlands,47.0,84.3,86.2,90.4,84.6,49.1,35.0,57.0,74.246,64.1,75.1,75.5,100.0,92.1,97.01,78.4,56.6,97.01,78.4,57.0,79.42,41,Very Good
Tohoku University,Japan,109.0,66.7,84.5,86.5,35.5,98.2,13.0,105.0,65.7274999999999,70.9,70.8,52.8,100.0,59.2,93.69,53.03,84.55,93.69,53.03,85.0,78.88,42,Very Good
Nanjing University,China (Mainland),103.0,67.7,72.1,61.2,99.0,37.2,10.0,63.0,73.7139999999999,69.6,66.2,85.1,99.6,59.6,94.87,83.43,53.4,94.87,83.43,53.0,78.88,42,Very Good
Rice University,United States of America,119.0,65.7,50.6,51.0,81.6,74.9,31.0,103.0,65.8395,56.7,46.8,88.1,72.9,82.6,93.38,72.17,65.8,93.38,72.17,66.0,78.8,44,Very Good
KTH Royal Institute of Technology,Sweden,78.0,73.6,60.2,62.1,88.2,68.3,28.000000000000004,99.0,66.277,51.1,57.3,79.7,97.2,90.5,94.94,75.07,59.7,94.94,75.07,60.0,78.5,45,Very Good
University of Copenhagen,Denmark,101.0,68.4,85.5,41.7,36.6,99.6,14.000000000000002,90.0,67.1184999999999,51.3,52.2,91.3,92.8,76.6,94.32,60.03,75.45,94.32,60.03,75.0,78.24,46,Very Good
Vanderbilt University,United States of America,250.0,50.4,32.3,41.8,50.6,100.0,18.0,93.0,66.736,53.8,48.1,95.6,91.9,60.8,88.94,64.77,76.9,88.94,64.77,77.0,78.11,47,Very Good
Australian National University,Australia,32.0,87.4,97.9,82.6,91.7,40.9,51.0,74.0,71.1075,56.7,62.6,85.7,86.3,94.2,97.15,80.0,48.8,97.15,80.0,49.0,77.56,48,Very Good
University of Oslo,Norway,119.0,65.7,67.8,27.7,67.7,78.4,18.0,114.0,65.1614999999999,47.8,52.5,90.3,75.2,76.5,93.13,70.17,63.1,93.13,70.17,63.0,77.2,49,Very Good
University of Basel,Switzerland,158.0,61.3,34.0,20.7,94.2,70.2,32.0,120.0,64.5279999999999,50.2,42.8,87.5,99.8,94.2,91.6,74.83,60.2,91.6,74.83,60.0,77.09,50,Very Good
