University,Country,global_ranking_score,research_impact_score,faculty_to_student_ratio,international_student_percentage,academic_reputation_score,research_productivity_index
Universiti Putra Malaysia (UPM),Malaysia,82.55,52.1,0.08,40.0,75.7,49.34
Universiti Sains Malaysia (USM),Malaysia,85.78,56.75,0.08,39.0,77.6,53.08
Newcastle University,United Kingdom,91.82,70.28,0.07,28.0,62.9,66.04
Macquarie University,Australia,91.24,77.55,0.02,25.0,47.7,79.2
Eindhoven University of Technology,Netherlands,90.59,68.18,0.05,36.0,40.5,70.92
Erasmus University Rotterdam,Netherlands,92.59,76.58,0.05,26.0,49.4,76.4
King Saud University,Saudi Arabia,88.82,69.72,0.09,11.0,54.8,68.9
Texas A&M University,United States of America,91.39,74.78,0.04,8.0,72.9,74.92
University of Southern California,United States of America,93.12,76.58,0.08,27.0,61.2,74.5
Stockholm University,Sweden,90.11,76.47,0.06,14.0,65.1,75.9
University of Groningen,Netherlands,92.9,74.1,0.04,28.0,67.2,69.88
University of Liverpool,United Kingdom,91.49,72.97,0.07,33.0,60.7,70.72
University of Cape Town,South Africa,90.88,76.9,0.08,12.0,58.2,76.6
Western University,Canada,89.71,74.3,0.03,25.0,42.3,78.14
University of Vienna,Austria,92.44,64.8,0.03,34.0,82.3,56.28
Universiti Teknologi Malaysia (UTM),Malaysia,84.53,59.97,0.1,28.0,64.0,59.54
Wageningen University & Research,Netherlands,93.07,75.2,0.06,31.0,55.0,71.12
University of Exeter,United Kingdom,90.51,71.92,0.06,29.0,57.9,68.7
University of Geneva,Switzerland,90.65,71.9,0.13,41.0,55.3,71.58
Lancaster University,United Kingdom,90.19,73.0,0.07,34.0,51.2,73.9
University of Basel,Switzerland,91.65,78.73,0.09,32.0,34.0,81.82
Hanyang University,Republic of Korea,87.58,53.85,0.07,27.0,58.2,51.66
University of Barcelona,Spain,90.89,70.12,0.07,12.0,84.9,65.66
Michigan State University,United States of America,91.87,74.35,0.06,10.0,67.3,71.72
Ghent University,Belgium,91.62,68.23,0.03,14.0,68.2,61.06
Nagoya University,Japan,89.18,54.32,0.08,13.0,74.2,51.1
Chalmers University of Technology,Sweden,88.64,68.75,0.08,18.0,34.6,71.18
Al-Farabi Kazakh National University,Kazakhstan,61.43,30.05,0.22,26.0,60.7,24.46
Washington University in St. Louis,United States of America,92.55,72.78,0.12,28.0,46.5,70.74
University of York,United Kingdom,90.43,70.3,0.07,29.0,56.8,67.0
Hokkaido University,Japan,85.32,53.3,0.12,11.0,71.5,51.18
Kyushu University,Japan,86.64,52.65,0.13,14.0,71.3,48.96
Universitat Autónoma de Barcelona,Spain,89.68,74.82,0.07,16.0,76.4,75.1
Arizona State University,United States of America,88.97,71.32,0.05,17.0,63.9,69.36
McMaster University,Canada,91.21,70.82,0.03,23.0,52.5,67.98
National Tsing Hua University,Taiwan,84.37,55.12,0.04,14.0,67.0,58.8
Tongji University,China (Mainland),90.44,75.53,0.08,16.0,45.2,80.34
"University of California, Santa Barbara (UCSB)",United States of America,92.01,83.02,0.04,18.0,65.3,86.22
Cardiff University,United Kingdom,88.25,65.18,0.07,24.0,60.1,60.58
Emory University,United States of America,91.21,77.87,0.25,20.0,34.5,79.44
Curtin University,Australia,86.96,76.38,0.05,35.0,46.3,79.02
University of Bern,Switzerland,90.98,83.45,0.06,18.0,38.0,86.62
University of Wollongong,Australia,88.05,76.55,0.04,32.0,41.6,80.36
Wuhan University,China (Mainland),90.56,78.57,0.07,6.0,53.6,82.46
Tecnológico de Monterrey (ITESM),Mexico,77.0,41.35,0.07,14.0,69.9,34.04
Ohio State University,United States of America,90.78,66.22,0.1,12.0,71.1,59.74
Université Catholique de Louvain (UCL),Belgium,88.93,69.88,0.03,21.0,61.7,67.8
University of Reading,United Kingdom,88.5,69.9,0.06,31.0,45.7,68.52
Vrije Universiteit Amsterdam,Netherlands,89.01,76.1,0.06,20.0,53.3,77.02
Waseda University,Japan,72.83,35.2,0.07,12.0,73.6,29.62
University of Otago,New Zealand,84.34,61.6,0.05,18.0,60.0,61.92
National Yang Ming Chiao Tung University,Taiwan,82.91,55.97,0.06,9.0,42.1,59.14
University of Gothenburg,Sweden,87.96,68.35,0.09,13.0,46.4,63.76
National Cheng Kung University (NCKU),Taiwan,80.55,47.78,0.05,11.0,66.4,46.18
University of Twente,Netherlands,88.41,70.1,0.11,43.0,29.3,71.48
Deakin University,Australia,87.83,75.77,0.03,25.0,42.3,77.86
"University of Maryland, College Park",United States of America,89.97,75.2,0.06,10.0,57.2,72.26
University of Minnesota (System),United States of America,90.53,70.88,0.08,9.0,68.6,66.54
University of Calgary,Canada,87.87,66.88,0.05,26.0,47.6,64.42
University of Florida,United States of America,89.38,66.45,0.06,10.0,58.9,60.1
University of Lausanne,Switzerland,89.61,71.9,0.1,23.0,37.0,71.32
Keio University,Japan,74.85,35.6,0.1,10.0,65.5,30.36
University of Ottawa,Canada,87.91,76.75,0.03,29.0,35.8,78.36
Chulalongkorn University,Thailand,78.82,45.12,0.08,4.0,82.0,38.6
Tel Aviv University,Israel,87.09,77.0,0.04,7.0,43.6,81.54
Universitas Gadjah Mada,Indonesia,63.76,26.15,0.12,5.0,70.2,21.52
Loughborough University,United Kingdom,84.21,60.25,0.06,25.0,42.8,58.32
Queensland University of Technology,Australia,87.15,71.08,0.03,18.0,51.6,71.04
Université Libre de Bruxelles (ULB),Belgium,86.79,69.32,0.02,32.0,43.3,67.52
United Arab Emirates University,United Arab Emirates,86.47,63.48,0.07,18.0,43.3,57.8
Massey University,New Zealand,79.89,56.05,0.06,30.0,42.1,54.94
University of Lisbon,Portugal,82.03,64.6,0.06,23.0,57.1,61.96
La Trobe University,Australia,85.65,73.9,0.03,37.0,33.4,76.68
University of Rochester,United States of America,88.7,62.78,0.12,36.0,27.1,61.54
University of Porto,Portugal,82.03,69.3,0.06,19.0,52.5,70.16
Maastricht University,Netherlands,88.5,72.93,0.06,60.0,32.8,72.68
Hebrew University of Jerusalem,Israel,85.47,58.97,0.06,3.0,42.9,55.56
Victoria University of Wellington,New Zealand,81.49,55.4,0.06,12.0,57.2,53.18
University College Cork,Ireland,82.82,58.35,0.05,23.0,43.4,57.22
Beijing Normal University,China (Mainland),88.1,76.48,0.06,7.0,47.6,80.9
Dartmouth College,United States of America,87.07,55.85,0.14,19.0,30.7,56.06
Vanderbilt University,United States of America,88.99,68.05,0.26,18.0,32.3,64.56
Universiti Teknologi Petronas (UTP),Malaysia,86.37,72.45,0.08,13.0,29.7,76.96
University of Strathclyde,United Kingdom,82.75,60.82,0.07,28.0,37.5,60.1
Harbin Institute of Technology,China (Mainland),87.87,77.07,0.09,4.0,33.3,81.62
Tianjin University,China (Mainland),86.09,73.15,0.11,15.0,26.3,78.5
Beijing Institute of Technology,China (Mainland),85.32,73.15,0.08,12.0,34.3,77.8
University of Canterbury,New Zealand,76.18,49.32,0.05,18.0,48.8,49.1
University of Aberdeen,United Kingdom,84.96,62.42,0.08,36.0,40.1,58.52
University of Navarra,Spain,83.95,49.9,0.07,30.0,40.8,44.98
University of Surrey,United Kingdom,85.63,71.22,0.07,33.0,29.7,71.86
Charles University,Czechia,79.88,52.12,0.07,24.0,58.5,44.56
Norwegian University of Science And Technology,Norway,82.9,63.82,0.07,9.0,45.9,60.08
Griffith University,Australia,83.78,72.38,0.04,25.0,37.7,72.92
University of Warsaw,Poland,72.64,43.8,0.09,10.0,61.0,37.04
American University of Sharjah (AUS),United Arab Emirates,77.44,49.02,0.06,72.0,31.7,47.98
North Carolina State University,United States of America,83.36,66.05,0.06,13.0,36.4,67.42
University of Virginia,United States of America,86.3,61.85,0.11,13.0,46.5,56.78
Sun Yat-sen University,China (Mainland),85.02,68.9,0.06,4.0,45.4,69.64
University of Milan,Italy,82.76,65.07,0.06,7.0,65.9,63.38
University of Sussex,United Kingdom,84.67,67.97,0.06,37.0,33.8,66.52
Radboud University Nijmegen,Netherlands,86.52,76.18,0.06,13.0,38.6,75.58
University of Antwerp,Belgium,86.07,71.7,0.03,17.0,35.0,68.9
University of Waikato,New Zealand,79.4,58.72,0.05,31.0,28.2,63.4
Dalhousie University,Canada,81.79,66.18,0.07,27.0,27.1,68.18
Georgetown University,United States of America,85.06,51.62,0.11,19.0,38.2,45.64
Heriot-Watt University,United Kingdom,78.26,56.65,0.06,44.0,25.7,57.68
Universitas Airlangga,Indonesia,59.67,27.17,0.14,8.0,52.2,22.24
University of Arizona,United States of America,86.58,69.88,0.05,7.0,49.3,65.38
University of Bergen,Norway,83.2,63.5,0.08,13.0,40.5,59.3
University of The Witwatersrand,South Africa,82.34,62.7,0.04,6.0,36.8,58.2
Swansea University,United Kingdom,82.23,60.18,0.06,25.0,34.7,56.74
"University of California, Irvine",United States of America,87.36,69.75,0.07,24.0,46.6,66.42
Case Western Reserve University,United States of America,86.15,63.88,0.1,26.0,22.4,64.36
Swinburne University of Technology,Australia,83.66,73.5,0.04,41.0,18.8,77.8
University of Notre Dame,United States of America,85.07,57.85,0.1,14.0,38.0,53.62
Vrije Universiteit Brussel (VUB),Belgium,84.17,60.7,0.03,24.0,33.3,54.1
University of Colorado Boulder,United States of America,85.69,64.32,0.06,8.0,49.0,58.66
Université Paris Cité,France,84.92,79.97,0.05,22.0,37.7,82.48
Stellenbosch University,South Africa,81.76,69.35,0.04,7.0,36.7,68.98
Jagiellonian University,Poland,75.27,45.92,0.11,13.0,49.9,38.82
University of Southern Denmark,Denmark,82.76,67.28,0.11,15.0,29.2,67.5
Aalborg University,Denmark,83.16,73.6,0.07,13.0,26.4,74.32
Simon Fraser University,Canada,81.34,63.32,0.04,31.0,34.9,62.58
University of Johannesburg,South Africa,80.12,63.15,0.04,14.0,25.5,59.56
"City St George’s, University of London",United Kingdom,81.96,64.23,0.06,41.0,26.9,62.94
Linköping University,Sweden,83.43,66.55,0.07,18.0,25.4,64.28
Ulsan National Institute of Science and Technology,Republic of Korea,83.39,61.75,0.08,8.0,21.8,69.3
University of Miami,United States of America,83.61,63.22,0.09,12.0,24.5,60.26
University of Tasmania,Australia,82.97,68.65,0.06,31.0,22.5,69.48
L.N. Gumilyov Eurasian National University,Kazakhstan,48.46,18.5,0.05,4.0,40.1,15.2
Huazhong University of Science and Technology,China (Mainland),84.56,78.95,0.06,4.0,30.9,83.16
Bauman Moscow State Technical University,Russian Federation,80.8,25.5,0.14,20.0,41.1,20.8
Université Grenoble Alpes,France,79.47,61.32,0.06,19.0,55.3,59.42
Sichuan University,China (Mainland),83.21,73.9,0.06,5.0,30.8,79.1
University of Leicester,United Kingdom,83.97,66.53,0.07,37.0,29.6,62.06
University of Delhi,India,69.87,51.4,0.05,2.0,46.9,50.54
University of Sharjah,United Arab Emirates,80.56,64.58,0.06,51.0,28.5,62.1
Kyung Hee University,Republic of Korea,82.38,52.38,0.06,30.0,34.6,47.08
Satbayev University (previously Kazakh Technical University named after K.I. Satpaev),Kazakhstan,50.36,15.35,0.09,17.0,40.6,12.62
York University,Canada,78.44,54.0,0.04,28.0,33.4,50.76
Sultan Qaboos University,Oman,74.84,53.78,0.12,4.0,28.9,50.92
Tufts University,United States of America,83.75,60.6,0.1,18.0,23.8,58.98
University of Illinois Chicago (UIC),United States of America,82.37,59.2,0.09,20.0,48.8,55.2
Shandong University,China (Mainland),81.62,71.65,0.08,9.0,22.8,76.74
Xiamen University,China (Mainland),81.52,67.6,0.07,3.0,34.3,70.86
University of Oulu,Finland,81.58,71.92,0.05,10.0,23.0,72.44
Southern University of Science and Technology (SUSTech),China (Mainland),84.08,71.32,0.1,1.0,14.9,77.06
University of Pisa,Italy,78.73,64.15,0.06,7.0,51.6,63.24
National Taiwan University of Science and Technology (Taiwan Tech),Taiwan,77.07,48.4,0.05,16.0,36.7,48.08
Cairo University,Egypt,68.17,43.9,0.04,7.0,60.8,36.32
Tilburg University,Netherlands,80.06,61.22,0.05,24.0,20.5,62.4
University of Coimbra,Portugal,77.23,64.3,0.05,19.0,39.2,63.72
Technion - Israel Institute of Technology,Israel,79.66,48.85,0.05,14.0,32.2,45.74
University of Münster,Germany,83.0,57.1,0.04,7.0,42.3,48.78
University of Tsukuba,Japan,79.15,48.97,0.08,17.0,49.9,45.18
Quaid-i-azam University,Pakistan,76.26,68.55,0.05,2.0,24.0,74.34
Nankai University,China (Mainland),81.55,67.88,0.09,7.0,27.1,73.08
National Technical University of Athens,Greece,68.42,58.1,0.05,5.0,28.2,62.66
George Washington University,United States of America,82.07,60.2,0.08,19.0,31.7,56.84
Mahidol University,Thailand,72.76,39.6,0.11,6.0,59.4,33.48
University of Victoria,Canada,79.99,65.0,0.04,17.0,25.6,67.74
University of Pretoria,South Africa,73.58,55.25,0.05,7.0,32.3,50.44
University of Tartu,Estonia,79.0,55.88,0.11,13.0,28.6,48.52
University of the Philippines,Philippines,55.43,31.62,0.09,0.0,50.6,25.94
University of Turku,Finland,79.06,61.95,0.06,7.0,36.3,57.48
RUDN University,Russian Federation,67.94,40.05,0.06,34.0,28.4,32.82
Universiti Brunei Darussalam (UBD),Brunei Darussalam,78.33,47.68,0.08,11.0,29.9,42.64
Daegu Gyeongbuk Institute of Science and Technology (DGIST),Republic of Korea,78.48,54.62,0.15,4.0,17.0,63.7
Pontificia Universidad Javeriana,Colombia,47.13,21.55,0.07,1.0,60.5,17.78
Oxford Brookes University,United Kingdom,67.83,37.8,0.07,30.0,38.7,32.72
South China University of Technology,China (Mainland),80.14,71.8,0.08,7.0,18.8,77.3
University of Saskatchewan,Canada,77.41,61.55,0.05,22.0,16.0,63.62
University of Liege,Belgium,79.29,68.23,0.03,21.0,24.4,67.22
University of Naples - Federico II,Italy,78.5,67.53,0.06,3.0,47.8,65.92
University of East Anglia (UEA),United Kingdom,79.77,65.4,0.08,26.0,24.7,63.42
University of Luxembourg,Luxembourg,80.35,55.5,0.05,52.0,13.2,52.3
Brunel University of London,United Kingdom,76.77,59.22,0.06,53.0,17.6,57.74
Gwangju Institute of Science and Technology (GIST),Republic of Korea,77.05,55.5,0.11,9.0,21.3,64.38
Flinders University,Australia,78.86,65.35,0.03,40.0,19.6,65.14
Beihang University (former BUAA),China (Mainland),80.4,65.5,0.07,4.0,18.3,70.72
National and Kapodistrian University of Athens,Greece,74.56,57.4,0.03,12.0,34.9,54.94
Abu Dhabi University,United Arab Emirates,80.73,49.08,0.09,60.0,24.6,46.44
Sejong University,Republic of Korea,79.86,74.05,0.05,16.0,16.3,77.68
Universitat Politècnica de Catalunya,Spain,70.62,48.08,0.1,13.0,40.8,43.86
Aston University,United Kingdom,76.11,62.08,0.05,35.0,18.1,61.0
University of Kent,United Kingdom,75.79,61.98,0.06,28.0,20.2,61.24
IPB University (aka Bogor Agricultural University),Indonesia,50.69,17.25,0.1,5.0,35.1,14.4
Western Sydney University,Australia,78.72,62.9,0.03,26.0,26.3,59.22
Umeå University,Sweden,76.41,53.8,0.11,8.0,27.2,48.04
University of Granada,Spain,70.94,53.32,0.07,11.0,59.3,47.92
University of Limerick,Ireland,73.36,50.6,0.04,18.0,27.9,47.38
University of Florence,Italy,77.45,62.4,0.04,9.0,45.1,59.86
Lincoln University,New Zealand,71.63,43.95,0.07,42.0,13.3,47.68
University of Turin,Italy,74.7,61.52,0.04,6.0,48.1,57.72
Università Cattolica del Sacro Cuore,Italy,78.59,58.8,0.03,6.0,33.1,55.1
Auckland University of Technology,New Zealand,71.89,45.0,0.06,49.0,29.6,42.64
Dublin City University,Ireland,78.27,56.3,0.04,13.0,29.2,49.44
Sunway University,Malaysia,78.34,52.72,0.12,27.0,20.9,47.22
University of Southern Queensland,Australia,76.82,71.55,0.05,19.0,11.0,75.26
Czech Technical University In Prague,Czechia,56.12,31.5,0.12,21.0,26.8,26.44
University of Aveiro,Portugal,68.02,66.38,0.06,11.0,18.6,72.04
National Taipei University of Technology,Taiwan,56.23,35.85,0.08,5.0,18.2,40.44
Murdoch University,Australia,75.6,64.15,0.03,53.0,13.0,66.1
Tampere University,Finland,76.98,62.65,0.05,10.0,29.2,59.66
Washington State University,United States of America,74.93,55.38,0.06,6.0,28.7,52.84
Graz University of Technology,Austria,70.22,35.07,0.11,26.0,21.9,31.82
University of Dundee,United Kingdom,77.28,53.5,0.05,36.0,25.5,46.92
Masaryk University,Czechia,68.64,47.08,0.05,25.0,32.3,41.42
East China Normal University,China (Mainland),78.0,66.82,0.07,7.0,19.9,69.88
National Taiwan Normal University,Taiwan,71.39,30.55,0.08,17.0,47.8,26.36
Prince Mohammad Bin Fahd University,Saudi Arabia,76.38,49.7,0.09,17.0,22.5,50.7
Universitat Ramon Llull,Spain,63.75,31.9,0.05,24.0,17.5,28.62
National Sun Yat-sen University,Taiwan,66.5,40.78,0.08,9.0,36.8,40.22
Ajman University,United Arab Emirates,74.87,47.02,0.07,81.0,27.8,39.66
James Cook University,Australia,76.12,64.57,0.07,14.0,21.0,63.72
"University of California, Riverside",United States of America,76.76,62.92,0.05,16.0,21.4,63.18
Vilnius University,Lithuania,64.13,41.62,0.09,12.0,26.9,34.54
Belarusian State University,Belarus,40.78,14.52,0.12,22.0,32.5,11.96
Iowa State University,United States of America,74.25,60.2,0.06,8.0,26.4,60.36
Kazan Federal University,Russian Federation,61.2,35.08,0.09,33.0,27.2,28.82
Shenzhen University,China (Mainland),75.11,70.55,0.07,1.0,11.9,74.62
Stony Brook University,United States of America,76.7,53.95,0.1,17.0,24.2,49.64
University of Cyprus,Cyprus,72.56,58.0,0.05,14.0,14.6,58.86
University of Essex,United Kingdom,75.71,55.82,0.07,48.0,23.7,51.68
"University of California, Santa Cruz",United States of America,79.51,64.88,0.04,10.0,24.7,64.38
Jordan University of Science & Technology,Jordan,64.61,36.92,0.08,28.0,32.0,32.0
Novosibirsk State University,Russian Federation,57.42,30.58,0.15,23.0,28.8,27.06
Royal Holloway University of London,United Kingdom,73.92,53.78,0.06,33.0,22.8,51.22
Anna University,India,60.78,53.77,0.08,1.0,15.0,62.98
Concordia University,Canada,68.27,49.28,0.04,35.0,21.7,45.82
Shanghai University,China (Mainland),71.75,53.22,0.07,6.0,29.8,52.28
University of Kansas,United States of America,74.81,50.4,0.11,7.0,17.6,43.04
Ben Gurion University of The Negev,Israel,66.3,51.18,0.08,2.0,19.5,52.68
Pusan National University,Republic of Korea,70.98,45.72,0.06,14.0,28.6,43.92
Università della Svizzera Italiana,Switzerland,77.13,49.02,0.08,70.0,9.3,47.9
Chung-Ang University,Republic of Korea,72.44,35.65,0.05,26.0,24.9,31.86
Hiroshima University,Japan,68.22,41.68,0.11,12.0,34.6,36.78
Dalian University of Technology,China (Mainland),73.54,66.6,0.06,5.0,11.4,72.42
Kobe University,Japan,66.07,36.65,0.1,7.0,36.9,33.2
Aristotle University of Thessaloniki,Greece,61.17,50.53,0.05,5.0,38.2,46.1
University of Trento,Italy,74.44,59.55,0.06,9.0,34.8,55.64
Edith Cowan University,Australia,73.89,59.8,0.04,35.0,13.7,59.92
Warsaw University of Technology,Poland,49.79,30.98,0.1,8.0,28.4,26.68
Central South University,China (Mainland),75.68,74.18,0.05,4.0,12.1,79.34
Imam Abdulrahman Bin Faisal University (formerly University of Dammam),Saudi Arabia,69.57,43.6,0.09,5.0,16.9,36.0
Universiti Utara Malaysia (UUM),Malaysia,72.22,37.88,0.09,33.0,31.2,32.84
University of Canberra,Australia,72.23,56.12,0.04,44.0,18.2,55.06
University of Jyväskylä,Finland,72.04,54.18,0.08,4.0,23.4,47.5
Northwestern Polytechnical University,China (Mainland),75.92,65.3,0.07,5.0,9.5,68.76
Tomsk State University,Russian Federation,66.85,34.67,0.09,37.0,25.3,29.14
Shoolini University of Biotechnology and Management Sciences,India,71.63,62.37,0.06,1.0,16.2,66.42
Chongqing University,China (Mainland),73.1,66.5,0.06,3.0,11.9,71.96
Ewha Womans University,Republic of Korea,68.63,33.52,0.06,16.0,33.5,29.54
Hunan University,China (Mainland),75.24,69.48,0.07,3.0,10.9,74.52
